GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3810105-29,1707,620,1066,1059.1,310.1,746.9,1079.2,433.9,637.8,1240.9,296.0,818.6,1219.6,208.8,961.6,1237.0,150.0,1041.3
3810105-30,879,406,458,922.2,270.1,650.3,939.7,377.8,555.4,1042.3,275.0,652.1,1025.3,202.0,769.0,1038.0,147.4,837.3
3810105-31,639,266,365,729.1,213.5,514.2,743.0,298.7,439.1,806.7,225.2,487.9,794.0,168.8,577.0,803.0,124.2,630.4
3810105-32,159,50,107,136.4,39.9,96.2,139.0,55.9,82.1,159.8,38.1,105.4,157.0,26.9,123.8,159.3,19.3,134.1
3810106-02,545,187,341,581.3,102.6,478.6,583.7,168.2,413.1,630.5,63.4,505.0,635.1,69.3,549.9,639.9,39.9,574.8
3810106-04,267,75,189,246.0,38.0,208.0,245.0,65.0,179.0,284.0,40.0,228.0,281.0,28.0,245.0,286.0,18.0,257.0
3810106-06,726,235,481,711.0,137.0,573.0,713.0,196.0,513.0,777.0,110.0,611.0,768.0,93.0,660.0,779.0,63.0,680.0
3810138-01,347,121,225,425.4,86.0,339.4,427.7,115.0,311.6,492.5,74.9,373.3,486.3,57.6,416.3,490.4,41.0,435.3
3810138-03,884,299,568,900.0,158.8,741.2,909.4,259.3,642.6,964.8,137.2,741.2,949.8,108.0,803.2,955.4,83.6,823.0
3810138-05,623,195,420,767.2,177.6,588.5,779.3,234.7,540.6,825.4,148.7,621.5,812.2,81.1,703.6,816.3,68.5,726.3
3810138-09,254,89,162,170.8,52.0,118.8,175.7,67.7,108.0,301.4,67.7,200.2,287.6,53.0,208.1,295.5,51.0,221.8
3810138-23,1742,663,1063,1544.2,407.4,1134.7,1569.6,571.0,991.0,1728.4,368.6,1183.2,1703.2,267.6,1363.7,1713.9,205.7,1430.3
3810138-26,1064,474,570,940.9,268.3,670.4,956.2,370.0,580.2,1030.7,246.8,668.3,1012.1,185.8,780.8,1021.7,144.8,826.7
3810138-31,623,242,363,691.3,182.4,507.9,702.6,255.6,443.6,864.2,202.9,586.0,845.9,151.2,658.8,860.1,113.5,715.0
3810140-10,680,239,433,406.8,115.7,289.3,410.3,143.4,265.2,613.2,113.2,412.0,587.3,101.9,425.8,598.6,80.3,457.8
3810140-20,565,262,293,460.4,145.0,313.4,466.9,193.9,269.2,473.0,125.2,284.5,461.7,94.0,340.7,468.1,76.1,362.9
3810140-21,1263,540,709,1127.6,355.1,767.7,1143.7,475.0,659.3,1334.1,341.6,810.8,1302.1,254.9,968.6,1321.7,215.9,1022.7
3810140-22,1129,448,658,996.9,314.0,678.7,1011.1,420.0,582.9,1024.2,271.2,616.1,999.7,203.6,737.8,1013.7,164.9,785.9
3810140-25,602,282,311,543.1,171.1,369.8,550.8,228.8,317.6,558.0,147.7,335.6,544.6,110.9,402.0,552.3,89.8,428.2
3810140-33,94,40,53,46.5,13.9,32.4,47.1,17.9,28.9,59.8,12.8,38.6,57.7,10.7,42.1,58.7,8.5,45.1
3810314-01,1228,382,807,1128.0,199.0,929.0,1130.0,300.0,826.0,1262.0,218.0,941.0,1258.9,179.0,1050.0,1266.0,126.0,1089.0
