GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg
320031324,1262,726,511,1492.1,706.6,681.2,1476.2,693.5,667.8,1286.8,703.6,540.5,1286.8,686.6,540.5,1278.4,638.0,576.5,1300.6,680.5,526.8
320031325,952,534,397,917.8,394.4,465.2,902.1,392.3,432.6,766.9,346.6,381.5,767.4,351.8,374.0,761.5,340.3,380.4,779.1,351.9,357.6
320031327,1080,720,337,1256.0,745.0,415.0,1219.0,727.0,393.0,986.0,669.0,269.0,991.0,674.0,270.0,975.0,647.0,280.0,981.0,656.0,278.0
320031328,645,436,206,1007.1,597.1,346.1,989.6,575.0,333.4,842.9,553.1,260.7,843.8,540.8,265.4,839.0,517.6,283.6,844.9,540.8,266.3
320031330,1133,544,561,1329.0,596.0,668.0,1306.0,587.0,609.0,1160.0,540.0,570.0,1158.0,522.0,588.0,1148.0,491.0,602.0,1159.0,527.0,577.0
320031331,854,588,242,1048.0,587.0,407.0,1029.0,570.0,360.0,865.0,535.0,297.0,862.0,527.0,297.0,860.0,519.0,308.0,869.0,529.0,287.0
320031332,368,238,122,475.0,262.0,188.0,463.0,256.0,154.0,395.0,228.0,150.0,394.0,223.0,146.0,393.0,210.0,159.0,398.0,226.0,144.0
320031333,848,488,336,904.0,433.0,426.0,891.0,419.0,402.0,804.0,425.0,354.0,801.0,429.0,342.0,794.0,400.0,366.0,795.0,419.0,345.0
320031334,1024,616,392,1160.0,623.0,478.0,1138.0,588.0,459.0,965.0,570.0,350.0,965.0,565.0,347.0,955.0,519.0,371.0,963.0,534.0,356.0
320031335,950,572,360,1140.0,567.0,505.0,1119.0,552.0,459.0,906.0,498.0,363.0,905.0,484.0,366.0,897.0,441.0,383.0,919.0,477.0,354.0
320031336,455,283,162,778.0,429.0,305.0,763.0,417.0,273.0,648.0,371.0,249.0,651.0,383.0,237.0,648.0,360.0,251.0,659.0,374.0,241.0
320031337,1112,718,370,1157.0,646.0,450.0,1122.0,599.0,413.0,1000.0,590.0,371.0,1000.0,587.0,362.0,1000.0,569.0,378.0,1010.0,578.0,359.0
320031340,882,586,282,1237.9,737.2,413.6,1210.2,709.5,383.9,964.8,635.3,291.9,962.8,612.5,285.0,956.9,591.7,304.8,952.9,606.6,291.9
320031341,970,604,350,1067.0,591.0,393.0,1047.0,579.0,373.0,856.0,536.0,286.0,854.0,525.0,294.0,844.0,493.0,302.0,862.0,505.0,287.0
320031342,823,478,334,875.0,463.0,360.0,859.0,429.0,357.0,678.0,383.0,260.0,677.0,383.0,265.0,673.0,360.0,277.0,680.0,387.0,254.0
320031343,665,320,331,727.0,297.0,391.0,707.0,305.0,351.0,596.0,269.0,306.0,595.0,274.0,298.0,593.0,264.0,305.0,592.0,268.0,296.0
320031344,516,293,213,525.0,282.0,216.0,516.0,282.0,202.0,423.0,238.0,170.0,423.0,234.0,174.0,422.0,217.0,180.0,429.0,232.0,172.0
320031345,504,288,210,498.0,275.0,195.0,480.0,256.0,174.0,398.0,240.0,142.0,397.0,238.0,145.0,397.0,233.0,150.0,399.0,245.0,134.0
320031346,996,530,451,1188.0,547.0,577.0,1179.0,527.0,545.0,1009.0,519.0,446.0,1009.0,514.0,444.0,1005.0,481.0,464.0,1013.0,507.0,431.0
320031347,114,67,45,969.2,428.9,492.0,955.6,414.5,479.2,1226.8,634.8,560.4,1228.6,639.1,553.7,1218.7,584.4,579.6,1221.5,613.5,550.4
320031348,726,469,246,1021.0,558.0,412.0,1010.0,535.0,380.0,850.0,479.0,325.0,851.0,462.0,334.0,847.0,458.0,338.0,851.0,466.0,321.0
320031349,751,485,254,989.0,571.0,338.0,968.0,523.0,339.0,906.0,550.4,310.8,908.9,541.1,320.0,899.8,517.8,325.7,913.6,535.3,302.4
320031350,657,379,262,616.4,327.4,252.6,606.0,305.3,236.9,486.3,265.6,194.6,486.3,255.8,199.2,485.0,251.9,203.7,485.0,256.5,195.9
320031351,843,589,233,925.0,578.0,291.0,907.0,534.0,291.0,669.0,432.0,211.0,670.0,438.0,208.0,666.0,413.0,224.0,665.0,426.0,211.0
320031352,866,504,348,914.9,506.5,350.5,892.7,468.2,333.4,750.4,469.5,254.5,749.4,457.4,256.6,748.4,443.2,257.7,763.5,450.3,249.6
320031353,969,656,301,1164.0,700.0,397.0,1144.0,658.0,387.0,1117.0,722.0,337.0,1117.0,705.0,353.0,1113.0,684.0,360.0,1136.0,696.0,342.0
