GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
720070081.2,5782,0,5766,2951,106,0,0,4644,0,4632,17,0,0,0,6423,24,6387,1315,201,10,9,5237,21,5206,1130,156,5,4,5237,21,5206,3,1,1,0,4,1
720090069.8,2903,0,2899,442,2,0,0,2469,0,2469,0,0,0,0,3108,20,3073,421,155,4,4,2643,18,2611,347,124,3,2,2643,18,2611,4,0,0,0,6,4
720090069.5,4770,15,4740,838,78,14,0,3848,15,3830,0,0,0,0,4707,42,4654,544,127,10,8,3760,27,3725,444,102,10,8,3760,27,3725,3,2,0,0,1,2
720090069.2,1969,2,1962,506,4,0,0,1555,2,1553,0,0,0,0,2000,7,1972,209,108,1,4,1599,6,1575,158,77,1,4,1599,6,1575,1,1,0,0,14,2
720090069.4,2573,18,2557,419,0,0,0,2025,17,2008,0,0,0,0,2615,19,2588,240,48,4,2,2158,15,2137,199,39,4,2,2158,15,2137,1,0,0,0,1,4
720090069.7,1815,20,1795,493,0,0,0,1503,18,1485,0,0,0,0,1528,7,1518,303,70,5,3,1261,7,1251,263,64,5,3,1261,7,1251,2,0,0,0,0,1
720090069.1,2207,8,2189,367,0,10,0,1714,8,1709,0,0,0,0,2805,6,2797,305,45,1,4,2314,3,2311,249,33,0,4,2314,3,2311,0,0,0,0,0,0
720090069.3,4036,1,4036,834,0,0,0,3358,0,3358,0,0,0,0,5199,27,5161,653,154,7,8,4293,25,4261,524,130,7,7,4293,25,4261,0,0,0,0,0,7
720090069.6,2272,0,2254,479,10,0,0,1768,0,1768,0,0,0,0,2675,12,2647,342,105,1,7,2210,8,2187,296,84,1,5,2210,8,2187,3,0,0,0,5,7
72011040.10,579,5,574,55,51,0,0,500,3,496,0,0,0,0,673,3,669,85,40,2,0,563,2,561,79,31,2,0,563,2,561,0,0,0,0,0,0
72011040.14,4431,214,4207,740,549,0,0,3603,154,3449,5,0,0,0,3915,35,3873,530,129,2,1,3188,21,3161,460,99,1,1,3188,21,3161,2,0,0,1,1,2
720110040.2,465,10,450,36,34,0,0,401,13,388,0,0,0,0,534,3,531,57,18,0,1,447,3,444,52,17,0,1,447,3,444,0,0,0,0,0,0
720110040.4,524,0,524,53,48,0,0,457,0,457,0,0,0,0,551,3,548,52,18,1,1,463,3,460,43,13,1,1,463,3,460,0,0,0,0,0,0
72011040.11,644,41,589,15,15,0,0,556,55,500,0,0,0,0,637,7,628,61,11,0,0,550,6,543,47,7,0,0,550,6,543,0,0,0,0,1,0
720110040.7,5119,96,5024,878,659,0,0,4323,95,4229,0,0,0,0,4335,13,4317,647,155,8,0,3610,8,3600,543,136,6,0,3610,8,3600,2,0,0,0,0,0
720110040.6,2866,161,2675,580,399,0,0,2349,151,2182,6,0,0,0,2384,14,2356,237,69,1,2,2027,13,2003,205,60,1,2,2027,13,2003,3,0,0,1,6,1
720110040.5,1016,29,987,105,0,0,0,815,30,785,0,0,0,0,1874,19,1850,265,66,1,0,1548,16,1528,220,44,1,0,1548,16,1528,1,0,0,0,1,2
720110040.8,1310,123,1187,157,92,0,0,1109,82,1027,0,0,0,0,1595,4,1587,292,43,2,2,1332,3,1326,251,38,1,2,1332,3,1326,0,0,0,0,2,1
72011040.13,663,19,578,202,96,0,1,574,17,523,27,0,0,0,815,4,809,154,23,2,0,722,3,719,145,20,2,0,722,3,719,0,0,0,0,0,0
720110040.9,1707,69,1632,300,113,0,0,1316,69,1243,2,0,0,0,1194,8,1184,168,41,4,1,1037,8,1028,148,35,2,1,1037,8,1028,0,0,0,0,0,1
720110040.3,4073,180,3863,666,611,9,0,3072,136,2931,0,0,0,0,4349,19,4313,515,137,15,3,3597,16,3564,416,112,13,1,3597,16,3564,5,4,0,1,3,4
72011ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72011040.12,2364,157,2207,314,119,0,0,1989,129,1857,0,0,0,0,2082,23,2052,431,97,6,3,1790,18,1765,379,92,5,1,1790,18,1765,2,1,0,1,0,3
720110040.1,794,31,763,162,103,0,0,716,31,683,0,0,0,0,658,29,627,105,23,0,0,584,25,557,101,20,0,0,584,25,557,0,0,0,0,0,2
720130026.4,2509,30,2479,145,87,62,0,2104,30,2074,0,0,0,0,3095,19,3072,380,95,3,3,2541,13,2524,324,76,2,3,2541,13,2524,1,0,0,0,0,3
720130026.3,7151,26,7125,649,15,87,0,5561,25,5536,0,0,0,0,7308,29,7264,912,203,14,8,5887,22,5850,736,169,12,7,5887,22,5850,3,6,0,0,5,1
72013ZZZZZZ,31,0,31,3,0,1,0,25,0,24,0,0,0,0,37,1,36,4,4,0,0,25,1,24,3,4,0,0,25,1,24,0,0,0,0,0,0
720130026.1,3667,5,3632,215,52,110,0,2890,0,2861,15,0,0,0,3643,18,3624,421,67,5,3,3073,18,3054,354,53,3,3,3073,18,3054,0,1,0,0,0,0
720130026.2,857,0,845,96,25,7,0,677,0,666,0,0,0,0,863,7,854,48,10,5,0,757,7,750,44,10,4,0,757,7,750,0,0,0,0,0,0
72013027.12,1448,15,1433,221,0,0,0,1253,15,1238,0,0,0,0,1467,9,1456,217,37,8,2,1234,8,1224,185,26,5,1,1234,8,1224,1,1,0,0,0,0
72013027.25,4738,12,4726,393,0,75,0,3867,12,3854,0,0,0,0,4416,12,4397,790,96,10,5,3741,12,3722,685,79,6,4,3741,12,3722,3,0,0,0,2,2
72013027.13,4375,33,4342,370,0,0,0,3429,33,3397,0,0,0,0,5513,30,5469,741,165,6,7,4640,22,4605,663,126,5,7,4640,22,4605,7,0,0,0,3,3
720130026.5,363,1,362,38,9,16,0,322,0,322,0,0,0,0,497,5,491,66,14,2,1,434,5,428,52,11,0,0,434,5,428,0,0,0,0,0,1
