GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0900909-116,1286,1225,53,1265,1227,32,1183,1132,43,1822,1702,104,1568,1518,38,1652,1581,40
0900909-105,213,143,67,203,147,54,196,136,58,298,207,89,366,314,49,396,318,72
0900909-155,1812,770,962,1787,990,773,1740,831,896,2322,1257,1031,2102,1325,737,2142,1089,962
0900707-001,2170,1171,884,2139,1440,674,2128,1250,851,2596,1701,853,2243,1536,662,2273,1365,781
0900101-021,1240,1084,149,1218,1103,111,1174,1038,130,2025,1619,395,1921,1746,141,2105,1860,205
0900101-022,2326,1555,719,2299,1743,524,2268,1621,613,2977,2152,778,2497,1781,630,2591,1665,798
0900101-015,1648,1271,351,1619,1320,288,1569,1237,319,2358,1775,559,1985,1642,298,2120,1597,462
0900101-011,237,199,36,240,207,33,234,197,35,331,271,58,258,221,31,275,229,36
0900101-088,961,336,612,956,431,518,943,354,587,1220,699,505,1109,506,587,1108,549,499
0900505-010,2196,653,1445,2175,821,1338,2153,686,1452,2678,988,1635,2445,1071,1338,2502,816,1569
0900505-050,4205,1441,2535,4127,1818,2244,4087,1491,2525,5133,2304,2799,4833,2485,2196,4994,1816,2903
0900505-037,1694,654,961,1659,816,817,1649,678,951,2160,990,1131,1955,1089,815,2002,829,1066
0900303-003,3133,1303,1615,3121,1712,1389,3084,1477,1585,3844,2328,1441,3369,1828,1493,3363,1773,1413
0900303-002,2601,1236,1197,2581,1493,1072,2558,1347,1194,3323,2105,1153,2906,1712,1156,2922,1660,1127
0900303-068,1357,1264,69,1291,1241,44,1243,1162,72,1795,1713,72,1822,1699,87,1969,1825,95
0900303-082,1025,878,101,966,866,85,929,813,99,1497,1280,204,1294,1174,91,1438,1292,106
0900303-125,1424,509,810,1388,658,710,1373,532,823,1880,842,1015,1548,895,621,1576,651,854
0900303-124,2053,824,1078,1993,1051,912,1991,882,1076,2714,1387,1274,2352,1401,911,2430,1081,1210
0900303-146,1640,511,1025,1623,736,871,1550,565,972,2140,979,1129,1797,943,827,1838,743,1014
0900303-143,2106,704,1291,2081,933,1126,2020,761,1245,2636,1205,1409,2345,1195,1126,2362,912,1350
0900303-077,1295,1084,176,1248,1090,149,1203,1025,163,1833,1500,319,1705,1507,155,1824,1575,199
0900303-115,2070,1007,897,2036,1214,798,1995,1033,928,2557,1523,1002,2318,1545,720,2370,1322,930
0900303-109,1487,801,589,1432,951,460,1274,765,486,2052,1237,780,1722,1225,446,1849,1115,643
0900303-133,2009,1025,821,1995,1266,703,1975,1094,851,2545,1672,816,2296,1414,811,2350,1345,852
0900303-043,2752,1406,1159,2735,1736,974,2696,1542,1127,3597,2328,1219,3098,1894,1137,3141,1884,1105
0900303-101,444,328,94,424,341,74,380,291,82,711,546,153,664,561,75,716,579,106
0900303-139,2702,964,1603,2667,1254,1384,2593,1023,1541,3483,1653,1776,2945,1594,1306,2987,1232,1618
0900303-049,3028,1363,1437,2997,1692,1278,2960,1498,1435,3632,2177,1392,3333,1893,1388,3352,1760,1432
0900101-014,551,463,85,537,464,68,520,442,73,772,625,142,672,586,74,713,582,117
0900303-159,2630,1574,847,2615,1924,674,2583,1725,827,3176,2421,708,2862,2042,771,2879,2057,702
0900303-165,2547,1359,996,2496,1625,831,2709,1416,1225,3156,2046,1053,2821,1915,831,2903,1704,1044
0900303-057,5476,2141,2892,5416,2793,2548,5369,2364,2942,6856,3779,2918,5985,3205,2619,6053,2918,2739
0900303-032,2728,1419,1123,2668,1681,956,2613,1499,1083,3500,2222,1231,3117,2165,883,3222,1879,1213
0900303-126,1734,677,914,1704,898,784,1681,732,927,2177,1073,1068,1930,1221,675,1978,925,971
0900505-025,1822,866,893,1808,1017,764,1769,888,857,2472,1323,1114,2154,1259,867,2038,1069,869
0900505-019,2418,978,1371,2383,1194,1157,2345,1000,1323,3134,1556,1530,2683,1465,1155,2759,1182,1470
0900505-031,1351,763,548,1344,868,463,1340,776,551,1555,1019,510,1390,887,469,1416,820,521
0900505-005,825,275,520,806,324,474,796,286,505,988,403,563,879,392,467,899,324,528
0900303-048,3795,1629,1908,3735,2092,1608,3592,1743,1818,4709,2722,1912,4201,2378,1748,4242,2107,1917
0900303-008,2865,1047,1626,2793,1336,1435,2700,1080,1587,3532,1656,1828,3141,1740,1352,3228,1318,1750
0900303-147,1021,445,512,1008,546,454,964,457,497,1377,728,636,1208,749,443,1217,591,576
