GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0900303-098,5414,2155,2292,1061,59,114,16,3935,1857,1414,667,41,73,13,5851,2303,2317,1393,28,42,0,3592,1632,1378,567,0,14,0,5578,2097,2429,1398,269,50,0,3525,1543,1458,516,0,14,0
0900303-114,3555,2270,828,456,25,55,2,2831,1980,540,285,16,40,2,3685,2590,721,407,10,128,0,2822,2081,484,154,4,90,0,3604,2424,754,489,12,115,0,2796,2037,466,221,4,70,0
0900303-097,4999,2994,1305,696,37,90,5,3926,2605,844,444,25,63,4,4939,2243,1665,963,10,111,0,3438,1916,858,628,0,41,0,5297,2481,1919,814,11,160,0,3697,2054,1065,480,0,100,0
0900303-101,2970,775,1718,575,45,32,14,2092,708,1049,367,26,21,10,2482,618,1375,442,2,71,0,1714,537,833,305,0,43,0,2608,513,1625,410,36,88,1,1733,439,935,301,0,50,0
0900303-078,5685,1108,3384,1323,70,109,24,4074,960,2277,879,47,83,19,5530,780,3470,1293,29,250,8,3436,590,2120,617,15,64,0,5706,721,3820,1265,21,183,8,3326,495,2196,562,4,38,0
0900303-077,6052,836,3852,1476,95,137,26,4336,760,2593,1005,71,112,18,5991,620,3982,1328,61,365,4,3773,500,2375,696,1,173,0,5902,486,4211,1596,65,249,4,3708,413,2572,587,0,103,0
0900303-154,10454,5474,2333,1521,106,1234,23,8009,4636,1513,1011,70,868,16,9807,4273,2575,1762,87,1174,28,6852,3769,1680,873,22,494,0,9580,4195,2613,1606,104,1184,30,6734,3633,1842,706,32,525,0
0900303-073,8440,780,5886,2018,148,237,37,5817,728,3816,1335,102,199,31,7555,673,4972,2027,218,95,11,4734,558,3171,970,22,30,0,7795,749,5055,2570,275,93,10,4880,612,3209,1009,13,31,0
0900303-075,6442,628,4354,1533,93,152,18,4579,568,2936,1069,67,118,17,6633,716,4231,2032,55,107,0,4402,518,2694,1145,0,38,0,6454,689,3996,1932,57,95,0,4365,506,2617,1194,0,36,0
0900303-074,5926,899,3546,1360,80,195,22,4337,797,2438,951,63,153,15,5501,897,3243,1318,2,125,0,3010,557,1790,600,0,64,0,5688,1000,3527,1635,0,115,0,3384,690,2002,629,0,62,0
