GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_ltg,Dem_2016_ltg,Rep_2016_ltg,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
100034-13,616.6,326.3,258.4,597.0,373.6,201.6,585.8,368.3,217.6,638,446,180
1000311-19,1306.1,721.7,511.3,1254.7,785.0,421.7,1225.6,782.9,442.6,1312,972,321
100032-20,765.8,401.6,313.3,738.6,416.2,298.2,717.4,424.5,292.8,741,455,278
100035-12,905.5,473.2,386.7,874.0,516.0,336.8,844.0,499.5,344.5,858,504,339
100033-19,823.9,404.5,373.7,802.2,474.9,299.6,779.7,472.6,307.1,815,518,289
100032-12,175.2,86.0,79.5,170.6,101.0,63.7,165.8,100.5,65.3,179,113,63
100033-21,982.3,483.8,442.3,954.6,522.5,403.0,924.0,523.2,400.8,935,590,327
100035-21,658.5,331.5,290.9,640.7,354.5,268.2,622.2,355.0,267.3,650,388,250
100036-21,1138.3,583.6,494.8,1108.7,619.0,460.8,1079.8,619.8,460.0,1055,605,442
1000312-20,1354.4,704.1,585.7,1347.2,715.8,598.7,1311.8,709.4,602.3,1340,720,602
100033-22,448.2,227.7,198.8,444.4,239.2,196.1,431.5,239.5,191.9,513,263,245
100033-23,988.0,568.0,349.0,968.0,593.0,338.0,951.0,608.0,343.0,1049,693,343
100034-2,19.4,13.9,5.2,19.1,12.5,4.9,19.1,13.4,5.7,28,16,11
100034-4,996.6,739.3,202.4,931.4,704.5,195.3,903.0,672.4,230.6,1022,739,264
100035-3,734.9,673.5,42.6,634.4,573.1,40.3,620.9,514.6,106.4,716,687,25
100034-3,421.5,399.5,18.1,353.2,331.2,15.6,341.0,292.2,48.8,424,416,7
100034-5,589.1,491.8,78.6,546.0,457.0,70.4,542.7,449.6,93.1,549,472,72
100033-5,499.8,358.0,123.8,471.1,350.7,107.4,466.2,345.4,120.8,454,382,67
100035-5,1159.3,981.3,138.6,1071.2,917.5,124.5,1068.7,880.9,187.8,988,875,106
100034-6,954.1,614.6,284.4,943.6,624.1,289.6,926.3,635.5,290.8,995,676,298
100033-6,860.6,647.9,175.9,825.0,641.7,160.3,814.2,621.1,193.2,968,786,168
1000314-11,1039.4,682.7,305.4,987.5,683.3,266.9,970.1,685.3,284.9,824,608,205
100034-7,580.6,381.3,170.6,551.5,381.7,149.1,541.9,382.7,159.1,553,361,187
100034-8,1567.0,1118.7,380.0,1483.8,1102.8,347.3,1495.3,1132.1,363.3,1586,1244,327
1000310-9,2320.1,1151.5,1052.4,2241.0,1242.2,957.9,2234.0,1298.2,935.8,1224,631,576
100034-10,906.3,592.9,271.2,863.4,596.3,241.4,842.6,577.0,265.6,799,632,159
100035-10,403.7,264.1,120.8,384.6,265.7,107.6,375.4,257.0,118.4,522,304,214
100036-7,1212.2,716.8,431.0,1176.0,754.9,385.2,1134.5,733.9,400.6,1219,764,441
100033-26,957.0,615.4,289.0,917.5,629.5,264.5,910.2,630.3,280.0,699,524,169
100033-27,916.0,594.0,271.0,871.0,596.0,243.0,875.0,604.0,271.0,878,642,228
100034-1,1081.0,1011.0,45.0,975.0,914.0,42.0,962.0,844.0,118.0,1230,1200,28
100034-15,864.8,506.6,306.2,840.8,552.6,267.2,836.8,558.6,278.2,856,566,274
100034-16,442.8,304.9,123.8,408.3,308.0,87.0,398.9,304.1,94.8,551,425,122
100037-17,925.2,595.1,286.2,862.7,616.0,216.0,835.1,588.9,246.2,896,705,177
100034-17,1063.7,633.4,381.1,1035.0,692.4,309.3,1014.0,672.0,342.0,1226,851,359
100034-18,1052.7,747.1,266.4,1014.3,763.1,228.0,994.3,715.1,279.2,1266,953,298
100035-18,708.6,433.8,239.9,663.0,445.8,196.4,649.1,434.7,214.4,593,432,153
100039-18,642.6,417.3,200.3,612.5,426.0,172.2,604.3,417.1,187.2,642,414,219
100034-19,969.6,524.4,390.2,918.8,546.9,343.5,893.8,547.8,346.0,896,616,262
100038-19,662.6,333.6,283.7,640.7,382.0,237.0,625.4,387.3,238.0,723,501,213
100039-12,818.5,411.2,370.4,779.3,456.6,299.5,745.4,420.4,325.0,870,581,275
100034-21,649.3,419.6,186.8,632.6,402.3,202.9,611.1,409.4,201.7,728,481,236
1000310-21,438.7,283.4,126.2,427.4,271.7,137.1,412.9,276.6,136.3,439,307,125
100034-22,1118.0,549.0,507.0,1112.0,595.0,496.0,1079.0,581.0,498.0,1136,599,529
100033-13,304.0,263.0,36.0,278.0,254.0,22.0,273.0,228.0,45.0,302,266,36
100033-15,1394.0,930.0,413.0,1344.0,917.0,398.0,1316.0,891.0,425.0,1192,860,319
100033-16,948.5,902.3,31.5,875.7,833.4,33.5,873.8,741.9,131.8,1088,1068,20
1000311-17,726.2,430.0,255.8,671.4,442.1,208.0,656.3,434.4,221.8,692,503,180
1000310-5,911.0,788.0,98.0,848.0,758.0,78.0,833.0,710.0,123.0,915,818,91
100039-19,261.5,170.7,73.5,247.2,164.5,74.6,239.7,167.2,72.5,330,238,87
100036-19,493.5,251.9,220.4,456.2,274.1,171.6,442.8,272.2,170.6,550,360,177
100035-22,1194.2,569.9,554.8,1172.9,602.9,547.9,1145.4,603.6,541.8,1210,652,547
1000310-22,760.9,360.9,350.3,756.4,394.8,345.6,739.0,381.4,357.5,785,384,383
100036-1,629.5,563.6,43.4,576.7,517.0,46.7,557.2,464.1,93.1,643,609,29
100039-2,450.8,383.9,43.5,416.1,348.0,45.6,410.5,325.1,85.3,419,397,19
100037-2,188.7,161.2,18.4,175.8,148.2,20.2,174.7,140.8,33.9,150,122,26
100036-3,463.8,436.5,19.9,401.8,373.8,17.7,379.0,331.8,47.2,503,490,13
100038-3,558.7,432.2,108.9,511.2,419.0,79.8,494.0,385.7,108.2,625,562,59
100036-5,1270.5,1052.8,178.5,1202.7,1007.6,167.7,1187.3,965.0,222.3,1061,970,87
100037-5,724.0,552.0,150.0,684.0,545.0,130.0,674.0,515.0,159.0,701,559,132
1000312-6,182.3,129.7,45.2,179.5,131.0,42.9,174.9,120.9,54.0,280,203,74
1000311-10,1172.2,847.5,261.1,1091.3,835.0,210.3,1071.0,829.3,241.7,1211,967,229
100037-25,651.5,355.7,260.6,630.5,374.1,231.7,619.0,379.4,239.6,811,502,291
