GEOID10,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
0400306,422.4,208.5,199.4,421.9,238.7,170.2,411.8,252.6,158.7,467.9,239.2,190.3,464.5,233.0,201.8,501,279,215
0400311,502.2,310.3,172.6,503.2,343.6,142.8,496.5,355.9,139.8,528.8,314.7,155.4,523.5,314.4,169.8,489,312,167
0400309,404.0,199.5,190.8,403.5,228.4,162.8,393.9,241.7,151.8,447.5,228.8,182.0,444.3,222.8,193.0,446,222,217
0400310,380.2,218.3,146.4,380.9,246.4,120.9,374.8,256.9,117.2,402.6,226.8,131.8,399.0,226.8,142.6,377,222,147
0400329,738.0,191.0,533.0,744.0,225.0,503.0,730.0,244.0,486.0,801.0,216.0,528.0,779.0,268.0,451.0,763,241,504
0400313,176.8,38.2,133.6,177.3,49.4,121.8,173.3,53.4,119.9,190.7,44.3,133.9,184.4,53.2,111.2,180,48,130
0400327,989.2,213.8,747.4,991.7,276.6,681.2,969.7,298.6,671.1,1067.2,247.7,749.1,1031.7,297.8,621.9,1096,345,736
0400330,234.0,94.0,135.0,233.0,104.0,126.0,232.0,108.0,123.0,227.0,96.0,119.0,220.0,100.0,98.0,241,119,115
0400361,497.7,103.6,381.8,498.8,140.2,347.6,488.3,149.3,338.5,565.6,145.7,377.8,555.9,162.6,348.9,592,196,381
0400333,328.0,86.0,231.0,331.0,103.0,216.0,326.0,102.0,223.0,396.0,104.0,259.0,378.0,117.0,223.0,362,122,231
0400334,1532.8,474.3,1029.5,1534.4,568.2,932.6,1512.9,571.0,940.1,1655.8,538.1,943.0,1622.9,540.2,970.1,1534,625,882
0400340,528.1,135.1,382.3,529.9,164.3,352.4,521.9,167.0,354.0,587.3,163.4,366.5,577.4,171.8,356.6,438,154,275
0400344,1040.8,283.4,731.6,1044.6,353.7,660.3,1024.2,354.7,668.6,1129.7,350.0,679.7,1104.7,351.9,651.9,1127,375,723
0400352,806.1,254.6,524.4,809.5,311.3,474.7,798.8,317.3,481.4,865.3,309.0,457.3,842.3,313.1,473.1,952,351,586
0400357,963.5,230.9,720.5,964.1,267.9,683.5,949.7,278.8,669.1,1010.3,259.2,677.8,976.8,261.5,658.7,1047,269,760
0400360,1408.0,283.0,1078.0,1415.0,355.0,1017.0,1385.0,390.0,992.0,1544.0,330.0,1087.0,1512.0,387.0,974.0,1421,432,955
0400323,576.0,170.0,382.0,578.0,228.0,320.0,566.0,221.0,343.0,659.0,203.0,373.0,647.0,225.0,385.0,679,271,391
0400362,464.8,93.5,361.1,466.9,127.9,331.0,456.7,138.6,318.1,523.9,133.3,356.3,515.3,150.5,325.1,503,136,358
0400312,169.0,41.0,122.0,169.0,55.0,105.0,165.0,52.0,113.0,225.0,81.0,126.0,220.0,83.0,124.0,201,88,107
0400363,663.5,113.5,544.6,665.2,146.3,507.3,643.9,151.7,492.3,759.3,157.0,552.6,745.9,204.0,488.7,704,162,525
0400519,1317.0,735.0,553.0,1319.0,805.0,473.0,1266.0,751.0,512.0,1349.0,722.0,482.0,1339.0,688.0,592.0,1249,694,542
0400507,996.0,606.0,349.0,1003.0,661.0,288.0,968.0,655.0,313.0,1136.0,671.0,323.0,1116.0,629.0,409.0,893,537,343
0400506,1301.7,1021.4,241.0,1352.9,1067.9,228.8,1253.0,1009.8,240.7,1595.9,1026.2,342.5,1533.5,893.8,511.9,1110,877,213
0400516,812.1,541.7,235.4,811.6,568.3,200.0,791.8,562.8,225.8,891.2,544.4,225.8,881.5,519.1,291.1,991,615,362
0400540,365.9,142.6,210.5,363.0,155.4,195.7,352.1,150.5,200.7,410.2,140.7,222.3,393.5,121.0,243.0,380,154,224
0400579,780.8,214.5,550.7,779.7,248.9,509.1,759.1,236.4,522.7,772.9,217.1,495.4,762.2,221.7,466.4,676,269,395
0400582,678.0,371.0,292.0,688.0,414.0,265.0,671.0,401.0,270.0,734.0,405.0,275.0,729.0,402.0,292.0,755,435,316
0400584,338.5,118.0,217.7,337.5,136.5,193.7,327.4,128.2,199.2,324.6,113.4,169.7,321.9,109.7,200.1,252,120,131
0400541,456.3,89.0,364.2,456.3,116.1,329.1,439.2,106.1,332.2,455.7,105.0,326.4,445.6,118.1,290.3,405,117,283
0400553,136.0,25.0,109.0,136.0,41.0,92.0,129.0,36.0,93.0,155.0,37.0,109.0,148.0,34.0,107.0,181,45,134
0400563,144.6,45.6,97.1,146.6,53.5,91.1,144.6,51.5,93.1,168.4,48.5,109.9,166.4,43.6,107.0,139,47,90
0400542,550.2,339.8,183.7,555.9,437.8,93.3,546.4,429.3,117.1,622.5,436.0,119.9,632.0,492.1,116.1,663,488,169
0400568,15.8,10.4,4.9,16.0,12.5,2.7,15.7,12.6,3.1,16.8,11.9,2.9,17.1,13.4,3.1,3,1,2
0400543,599.9,400.5,180.2,604.9,468.7,105.9,593.6,477.2,116.4,622.9,438.2,105.9,634.5,489.4,118.2,538,414,117
0400594,482.9,348.5,111.1,482.3,414.0,50.7,477.0,395.1,81.9,488.3,381.5,54.7,502.1,410.4,71.3,432,309,115
0400547,329.1,229.8,88.0,332.2,270.9,48.0,327.1,266.8,59.3,339.9,244.8,49.3,352.0,285.5,55.3,282,212,65
0400596,791.8,564.5,192.2,792.2,650.0,105.2,787.4,650.5,136.9,873.0,665.9,105.2,894.1,741.8,113.4,830,655,169
0400556,1013.9,529.9,470.4,1014.3,580.0,417.5,995.1,563.9,430.0,1033.7,536.5,401.4,1037.9,500.1,500.3,1021,529,481
0400552,1420.6,546.4,848.1,1422.6,614.5,777.0,1386.5,590.5,792.0,1450.5,558.4,766.8,1432.5,533.3,798.2,1279,562,696
0400589,221.0,147.7,63.2,224.8,191.3,28.8,212.7,171.8,40.9,272.1,211.8,39.9,275.8,226.6,47.4,240,198,41
0400567,498.0,293.0,182.0,500.0,362.0,111.0,488.0,338.0,149.0,524.0,322.0,122.0,534.0,401.0,114.0,551,406,139
0400565,659.6,465.7,166.7,660.6,533.1,96.4,647.6,529.1,116.5,717.9,538.1,110.4,736.9,600.4,119.4,688,571,106
0400548,161.8,128.2,29.1,161.8,144.5,11.8,159.1,145.5,13.6,185.5,151.8,9.1,191.8,172.7,10.9,173,150,22
0400591,9.6,7.2,1.9,9.7,8.2,1.0,9.6,8.2,1.4,10.4,8.2,1.1,10.5,9.2,1.1,7,7,0
0400570,163.6,98.1,57.4,161.6,130.3,25.2,160.6,120.3,40.3,170.8,121.4,26.2,171.8,109.5,51.2,141,100,39
0400544,16.2,12.8,2.9,16.2,14.5,1.2,15.9,14.5,1.4,18.5,15.2,0.9,19.2,17.3,1.1,19,19,0
0400586,1339.7,500.9,806.8,1337.4,585.3,721.8,1303.9,551.8,751.1,1469.8,526.4,790.1,1450.9,515.1,874.5,1208,518,674
