GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
33009MONR01,498.0,173.0,291.0,481.0,164.0,301.0,494.0,165.0,299.0,515,243,270
33009ORAN01,173.0,73.0,85.0,171.0,80.0,82.0,173.0,85.0,78.0,164,96,65
33009ORFO01,744.0,417.0,256.0,731.0,410.0,295.0,733.0,407.0,294.0,730,489,235
33009RUMN01,880.0,365.0,457.0,862.0,382.0,433.0,881.0,390.0,448.0,905,434,471
33009SUGA01,429.0,237.0,159.0,422.0,242.0,166.0,428.0,227.0,189.0,419,270,148
33009THOR01,1516.0,736.0,651.0,1478.0,789.0,575.0,1501.0,750.0,673.0,1434,800,611
33009WARR01,472.0,180.0,261.0,455.0,195.0,238.0,468.0,219.0,235.0,484,229,243
33009WOOD01,784.0,378.0,335.0,762.0,409.0,306.0,778.0,377.0,367.0,758,469,286
33011AMHE01,7347.4,3775.2,3269.4,7406.4,3382.4,3749.2,7554.4,3404.4,3938.1,7429,3822,3536
33011MERR01,14926.5,6406.8,7398.6,14823.6,6330.6,7868.8,15127.6,6521.6,8060.9,15009,7316,7558
33011MILF01,8280.0,3816.0,3850.0,8069.0,3658.0,3920.0,8236.0,3866.0,3964.0,7748,4024,3660
33011ANTR01,1529.0,668.0,748.0,1489.0,695.0,687.0,1512.0,701.0,719.0,1514,852,635
33011WNDS01,125.0,28.0,94.0,115.0,35.0,70.0,122.0,35.0,77.0,126,67,59
33011BEDF01,13570.0,5851.0,6816.0,13405.0,5087.0,7911.0,13533.0,5183.0,8008.0,12618,5115,7442
33011MANC10,3955.1,1906.2,1766.4,3811.5,1898.5,1664.8,3898.6,1944.5,1740.5,4061,2181,1832
33011BENN01,816.3,325.5,420.1,784.4,340.4,384.3,806.3,353.4,397.2,784,399,369
33011FRNT01,979.7,472.5,445.9,1006.6,471.6,492.7,1035.7,484.6,509.8,1061,574,479
33011DRNG01,1056.9,381.5,583.7,1030.0,397.5,564.8,1050.9,416.4,569.8,1038,538,498
33011BRKL01,3181.0,1417.0,1501.0,3116.0,1290.0,1715.0,3151.0,1317.0,1727.0,2873,1245,1591
33011HILS01,3022.1,1199.5,1590.3,2951.0,1303.5,1466.2,2993.1,1323.6,1504.2,2847,1539,1280
33011GOFF01,9834.0,4146.0,5009.0,9540.9,4067.0,5087.9,9742.0,4170.0,5197.0,9002,4243,4707
33011MANC07,3934.0,1962.0,1700.0,3794.0,1969.0,1626.0,3879.0,2044.0,1619.0,3701,2016,1652
33011GRFD01,931.0,433.0,414.0,911.0,447.0,399.0,920.0,449.0,414.0,920,523,383
33011GRNV01,967.0,379.0,493.0,955.0,426.0,450.0,975.0,445.0,447.0,964,533,423
33011MASO01,872.0,306.0,477.0,836.0,317.0,457.0,850.0,292.0,511.0,854,385,457
33011HANC01,1221.0,713.0,433.0,1199.0,689.0,473.0,1219.0,705.0,487.0,1211,748,451
33011NASH01,5815.5,2948.6,2489.4,5674.3,2769.4,2680.8,5789.4,2803.4,2777.9,5482,2952,2475
33011HOLL01,5222.6,2526.4,2307.6,5105.7,2254.6,2668.2,5195.6,2320.6,2735.1,5055,2536,2475
33011NASH05,5717.0,2752.0,2573.0,5568.0,2622.0,2703.0,5664.0,2717.0,2727.0,5289,2741,2499
33011HUDS01,13356.8,5305.9,7219.9,12894.8,5099.9,7157.0,13185.8,5425.8,7150.0,12264,5807,6351
33011LITC01,4910.3,1923.1,2720.1,4810.2,1851.1,2772.0,4912.2,1926.2,2813.0,4567,1951,2581
33015WNDM01,8890.0,3507.0,4825.0,8730.0,2998.0,5447.0,8864.0,3382.0,5226.0,7879,3180,4644
33011MANC05,2770.5,1504.3,1047.9,2640.1,1406.7,1068.9,2728.0,1550.5,1012.3,2785,1761,992
33011MANC04,3354.7,1780.0,1297.8,3217.8,1712.3,1306.3,3302.6,1821.6,1252.2,3362,1982,1336
33011LYND01,1080.0,470.0,503.0,1057.0,481.0,513.0,1076.0,479.0,526.0,1031,530,492
33011MANC01,5546.7,2969.1,2216.9,5450.3,2793.2,2456.4,5523.8,2841.9,2509.0,5422,2913,2480
33011MANC03,3174.4,1892.9,1035.3,3029.1,1688.6,1136.8,3120.2,1844.7,1086.5,3050,2003,1013
33011MANC02,4807.2,2465.3,1981.3,4660.9,2345.1,2088.4,4757.0,2451.3,2114.4,4762,2668,2055
33011MANC06,5332.8,2386.8,2603.5,5233.8,2352.2,2687.8,5303.3,2414.2,2704.6,4845,2489,2324
33015AUBU01,3588.0,1307.0,2031.0,3479.0,1233.0,2097.0,3534.0,1308.0,2086.0,3161,1283,1851
