GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10003006-06,551,437,93,559,450,91,547,441,106,580,466,107,419,343,66,408,339,69,521,413,91,515,401,114,550,423,105
10003009-19,1053,603,420,1060,603,434,1025,567,458,1101,603,476,768,435,308,758,462,296,1012,593,389,968,546,422,1063,534,481
10003008-02,536,499,22,548,505,26,519,471,48,596,572,23,355,326,12,349,296,53,523,491,17,511,421,90,594,564,15
10005003-38,2837,1236,1545,2862,1263,1570,2815,1261,1554,2895,1257,1610,2082,895,1152,2009,933,1076,2264,980,1247,2238,1033,1205,2302,842,1375
10005002-38,3236,1328,1841,3260,1369,1850,3173,1351,1822,3308,1352,1923,2310,938,1352,2252,980,1272,2265,937,1302,2232,984,1248,2350,810,1487
10005004-37,2751,1262,1435,2769,1286,1445,2705,1267,1438,2834,1294,1517,1847,850,967,1794,902,892,2130,1029,1066,2086,1044,1042,2218,894,1261
10005006-37,1327,542,747,1339,549,762,1308,556,752,1376,557,802,940,380,541,924,411,513,1112,494,589,1093,517,576,1172,433,708
10005005-37,2550,1146,1342,2564,1172,1350,2516,1150,1366,2619,1185,1409,1701,760,921,1664,807,857,1715,785,905,1681,782,899,1791,697,1043
10005001-36,1648,813,782,1658,804,813,1623,795,828,1694,827,839,1233,609,588,1199,625,574,1387,625,721,1368,669,699,1425,572,768
10005002-36,1810,639,1122,1829,637,1162,1795,635,1160,1840,641,1171,1252,397,827,1224,450,774,1479,493,954,1454,564,890,1491,383,1044
10005002-39,1751,860,830,1766,885,842,1718,847,871,1810,874,907,1295,612,658,1257,627,630,1636,811,774,1588,803,785,1703,749,872
10005003-40,942,524,398,939,528,392,928,506,422,971,521,435,638,378,249,629,389,240,840,501,319,823,475,348,872,462,383
10005006-36,1401,610,743,1411,617,763,1384,592,792,1448,653,774,1053,452,582,1026,482,544,1197,561,610,1175,566,609,1238,493,698
10005003-37,2910,1264,1582,2940,1280,1628,2870,1269,1601,2989,1291,1666,2100,861,1207,2058,933,1125,2118,876,1192,2068,915,1153,2183,755,1324
10005006-41,1190,471,700,1198,461,721,1173,481,692,1212,474,734,846,318,518,830,345,485,888,380,495,878,393,485,918,307,575
10005005-41,2447,1130,1242,2469,1151,1274,2414,1161,1253,2521,1158,1329,1679,819,838,1654,866,788,1970,1041,892,1925,1048,877,2040,851,1117
10005001-38,2414,873,1491,2430,885,1518,2379,897,1482,2459,847,1593,1809,622,1165,1775,704,1071,2030,745,1248,2001,820,1181,2082,583,1425
10005007-40,1684,582,1060,1685,605,1046,1658,580,1078,1727,579,1125,1188,442,720,1173,486,687,1554,637,866,1522,604,918,1609,476,1058
10005006-40,1467,374,1053,1476,403,1045,1444,388,1056,1506,362,1120,1004,255,735,986,307,679,1241,384,823,1231,388,843,1290,241,987
10005001-35,2553,714,1763,2557,727,1796,2505,724,1781,2599,705,1852,1897,560,1293,1856,632,1224,2300,768,1487,2241,834,1407,2367,583,1704
10005007-36,687,355,316,681,355,318,676,343,333,697,360,324,497,266,222,487,265,222,578,306,264,568,296,272,595,290,286
10005005-36,1710,691,969,1722,693,1000,1685,684,1001,1730,675,1025,1266,506,731,1234,557,677,1397,574,798,1375,626,749,1442,484,910
10005003-20,2905,1359,1473,2904,1363,1504,2843,1354,1489,2948,1363,1559,2155,1000,1115,2108,1013,1095,2152,966,1142,2118,976,1142,2213,835,1306
10005006-20,1853,958,844,1865,963,877,1816,913,903,1878,958,893,1484,757,697,1461,789,672,1596,771,800,1569,774,795,1614,679,863
10005009-20,323,118,189,321,118,190,322,123,199,328,124,196,247,80,163,237,101,136,270,108,159,266,118,148,275,68,186
10005002-20,2853,1389,1404,2862,1415,1410,2789,1407,1382,2916,1435,1451,2247,1060,1152,2195,1119,1076,2192,1026,1113,2148,1053,1095,2249,907,1262
10005007-38,3525,1463,1997,3538,1501,1989,3485,1490,1995,3596,1524,2036,2354,968,1353,2312,1042,1270,2260,836,1381,2219,931,1288,2326,717,1526
10005005-38,1608,646,935,1619,651,946,1585,625,960,1651,660,977,1196,491,689,1171,508,663,1330,527,794,1310,533,777,1379,463,888
10005007-37,1479,611,837,1487,599,867,1461,619,842,1523,593,918,1191,458,724,1174,507,667,1291,482,784,1272,511,761,1329,427,867
10005001-20,1276,734,499,1281,741,512,1252,733,519,1303,758,527,977,579,369,953,582,371,1090,627,417,1064,611,453,1132,570,488
10005001-14,3817,2201,1547,3836,2228,1569,3769,2165,1604,3861,2210,1612,2826,1593,1191,2777,1637,1140,3000,1583,1369,2934,1575,1359,3066,1459,1514
10005007-14,1429,911,490,1430,892,521,1402,885,517,1453,901,537,1111,687,401,1088,718,370,1224,745,456,1198,710,488,1240,699,500
10005005-20,4142,2272,1787,4155,2343,1765,4058,2275,1783,4214,2305,1880,2943,1573,1325,2879,1647,1232,2702,1348,1294,2644,1400,1244,2784,1254,1417
10001002-29,4772,2880,1747,4789,2913,1784,4728,2832,1896,4893,2950,1872,3279,2009,1200,3242,2013,1229,3690,2157,1469,3616,2176,1440,3825,2084,1579
10001001-29,5791,2888,2742,5817,2913,2800,5730,2926,2804,5930,2894,2954,3951,2107,1772,3896,2085,1811,4536,2374,2059,4441,2473,1968,4682,2028,2420
10001003-29,1746,776,917,1750,797,921,1723,774,949,1775,776,962,1185,549,618,1164,558,606,1397,603,766,1367,667,700,1430,529,839
10001005-30,1941,802,1079,1951,813,1100,1923,799,1124,2008,819,1164,1313,581,711,1283,621,662,1690,705,937,1646,794,852,1737,609,1033
10001004-30,803,247,538,802,239,553,797,252,545,813,228,576,549,183,356,537,197,340,725,246,462,705,284,421,752,182,539
10001003-30,1909,491,1360,1917,505,1374,1894,520,1374,1935,476,1423,1304,379,901,1282,430,852,1647,475,1131,1600,613,987,1681,336,1270
10001001-30,2832,1167,1586,2851,1183,1610,2806,1151,1655,2888,1161,1680,1867,773,1060,1836,842,994,2401,984,1366,2336,1082,1254,2455,860,1472
10001005-33,1268,461,769,1268,467,773,1249,454,795,1282,456,806,871,321,535,857,356,501,1102,389,692,1069,463,606,1125,348,734
10001006-33,1808,741,1027,1819,745,1054,1790,748,1042,1843,743,1085,1286,511,756,1263,552,711,1577,655,901,1532,719,813,1604,593,951
10001004-33,2953,1319,1551,2969,1324,1589,2923,1288,1635,3008,1303,1659,2006,870,1082,1969,891,1078,2427,989,1388,2374,1137,1237,2466,891,1431
