GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
1326308,815,559,256,716.0,399.0,293.0,754.0,464.0,275.0
13265172,304,226,76,168.0,87.0,80.0,194.0,114.0,80.0
13265601,686,417,263,630.0,356.0,261.0,703.0,431.0,269.0
132671,539,161,375,384.0,65.0,307.0,427.0,78.0,343.0
132672,188,28,159,122.8,20.5,98.9,130.9,29.4,100.5
132673,681,182,494,679.2,113.5,547.1,724.1,162.6,555.5
132674,302,124,178,245.4,59.5,176.4,262.3,74.5,185.0
132675,1117,382,729,1448.8,405.7,1002.7,1557.2,510.4,1018.3
132676,453,61,387,303.9,44.7,251.9,316.0,50.5,258.6
132677,1183,277,902,998.9,146.9,828.0,1038.5,166.0,849.9
132678,1536,567,958,1483.1,373.8,1094.8,1584.8,469.9,1092.6
132679,704,150,548,794.8,124.3,653.2,845.3,139.6,692.6
132691,757,673,82,579.0,445.0,129.0,659.0,549.0,99.0
132693,313,53,258,221.6,32.2,182.4,236.2,34.2,198.8
132695,1043,211,828,1099.5,159.7,904.8,1171.9,169.7,986.4
132696,1470,599,853,1245.9,454.1,757.8,1338.0,543.1,779.9
13271HE,799,370,425,543.0,166.0,367.0,603.0,195.0,401.0
13271JA,484,185,299,388.0,99.0,285.0,423.0,116.0,307.0
13271LU,666,265,397,589.0,259.0,322.0,632.0,283.0,348.0
13271MC,1485,778,700,1281.1,504.0,754.0,1388.0,612.0,762.0
13271MI,607,161,439,505.0,58.0,440.0,541.0,62.0,474.0
13271SC,333,103,226,200.0,34.0,159.0,208.0,45.0,158.0
1327301,1542,1235,303,1690.0,1130.0,530.0,1836.0,1395.0,427.0
1327302,1061,423,627,869.0,234.0,613.0,907.0,286.0,610.0
1327303,661,367,292,529.0,220.0,299.0,555.0,258.0,290.0
1327304,412,195,213,286.0,90.0,192.0,302.0,116.0,183.0
1327305,440,144,294,372.0,106.0,258.0,389.0,129.0,258.0
1327306,300,137,161,186.0,77.0,105.0,192.0,83.0,106.0
13275101,607,186,419,396.0,79.0,308.0,433.0,98.0,330.0
13275102,1257,720,532,927.0,416.0,488.0,1039.0,495.0,539.0
13275103,1333,526,802,1924.0,556.0,1321.0,2058.0,654.0,1366.0
13275104,980,350,626,484.0,108.0,353.0,561.0,136.0,403.0
13275105,1086,940,142,1110.0,849.0,226.0,1232.0,1004.0,208.0
13275106,926,166,753,703.0,108.0,568.0,766.0,126.0,629.0
13275107,834,235,597,953.0,185.0,742.0,1002.0,237.0,742.0
