GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0219836-680,1460,144,26,14,1294,9,16,1039,128,12,6,895,5,7,1635,216,116,10,1357,26,0,1150,179,60,4,904,4,0,1654,215,97,3,1359,57,0,1170,169,50,4,928,10,0
0209001-490,3014,1508,246,494,690,174,34,2250,1216,145,329,455,135,21,2402,1198,247,283,785,151,0,1876,955,183,172,542,69,0,2572,1275,292,160,837,216,17,2105,1056,248,96,595,98,0
0227536-690,2369,1699,37,13,582,56,15,1849,1404,22,4,398,33,8,2484,1642,121,3,699,79,21,1905,1400,43,8,420,15,4,2502,1548,126,4,853,37,12,1975,1345,38,8,575,8,4
0218039-926,2252,697,56,21,1468,53,2,1526,593,32,11,869,37,2,2301,727,117,45,1433,39,26,1515,604,39,19,824,15,14,2450,717,138,47,1636,53,5,1591,585,44,14,926,15,0
0202013-240,2408,1955,106,96,190,94,18,1686,1401,70,49,115,54,13,2673,1925,89,145,226,281,16,1896,1524,42,89,76,149,12,2572,1908,36,136,226,255,17,1867,1497,19,84,75,183,12
0202013-235,1532,1257,62,20,165,46,4,1145,982,37,9,99,23,2,1739,1353,37,72,144,135,0,1314,1102,17,48,66,79,0,1558,1248,0,70,122,122,0,1211,1021,1,46,43,102,0
0202027-905,1922,1115,142,253,263,158,109,1434,946,82,158,148,96,58,1954,1023,131,527,167,150,42,1486,910,47,309,138,67,17,2381,1145,192,516,408,225,58,1908,1041,108,349,297,96,13
0205038-824,639,13,0,0,626,0,0,367,13,0,0,354,0,0,718,2,9,1,716,0,0,434,1,1,1,430,0,0,718,4,2,3,714,0,0,429,4,1,2,423,0,0
0215839-904,938,22,1,10,912,3,0,532,16,0,2,514,1,0,1061,61,13,10,985,0,0,603,59,5,2,536,2,0,1040,73,19,6,951,0,0,603,69,19,2,513,2,0
0229037-310,83,3,0,0,80,0,0,59,3,0,0,56,0,0,83,3,3,0,78,1,0,55,3,1,0,52,0,0,89,3,4,0,82,1,0,61,3,1,0,55,0,1
