GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
0202018-460,1195,806,346,1183,798,347,1044,702,300,1127,659,346,1099,176,426
0202025-870,1516,710,739,1507,671,767,1195,596,554,1311,555,588,1282,181,539
0202025-855,1396,681,685,1393,666,682,1124,513,579,1273,468,663,1244,152,509
0209003-165,2000,438,1453,1977,446,1430,1475,313,1100,1870,282,1350,1828,98,806
0218039-944,101,51,43,100,39,46,116,61,38,121,63,15,123,7,48
0218039-942,98,51,40,96,29,43,96,64,17,89,44,28,88,5,49
0202022-665,1177,556,577,1178,545,586,955,433,493,1036,404,508,1030,147,473
0218039-920,120,50,64,125,45,60,123,49,72,94,62,23,106,12,69
0202028-120,1487,634,823,1497,600,871,1252,529,685,1321,492,715,1313,108,660
0202016-325,834,451,351,831,430,356,640,353,269,780,396,266,758,145,268
0202023-735,618,296,300,616,305,287,507,263,230,567,250,255,560,82,248
0202018-475,688,394,269,680,353,296,538,279,237,625,297,258,608,93,290
0202018-440,657,403,224,653,396,237,532,320,193,560,262,227,542,91,204
0202018-455,776,460,290,766,456,254,598,336,237,835,447,302,813,187,294
0217008-140,1931,454,1407,1902,432,1322,1398,268,1097,1586,225,1195,1532,84,586
0217011-095,1358,410,906,1360,377,948,1093,329,731,1165,260,798,1147,102,487
0202012-230,2016,607,1333,1997,566,1374,1603,443,1120,1812,393,1211,1789,105,831
0202023-770,829,444,372,827,403,385,565,263,287,774,329,367,753,98,347
0205038-848,201,118,69,206,148,42,161,114,36,162,88,43,161,21,87
0209004-260,1215,819,349,1219,836,344,1010,738,244,1090,635,271,1074,221,368
0205038-822,91,73,11,91,57,23,120,96,19,117,80,15,116,19,66
0205038-840,95,71,20,95,59,29,131,105,17,107,61,17,108,27,57
0205038-838,129,76,50,131,75,42,109,87,16,113,67,33,110,6,65
0205038-808,983,605,338,956,559,338,846,568,245,835,443,263,812,84,438
0218039-938,230,178,38,223,114,72,202,141,47,211,137,28,211,14,137
0218039-950,36,28,5,36,20,14,40,25,7,46,21,5,46,6,24
0202027-925,1026,485,504,1025,467,516,883,400,463,972,363,495,956,111,452
0212231-360,1597,781,763,1592,779,752,1274,639,593,1351,572,603,1321,164,470
0211034-400,1499,869,582,1502,868,603,1251,730,477,1333,658,528,1305,200,564
0218840-026,136,54,68,135,35,81,176,97,62,159,75,40,160,14,90
0218540-034,69,20,31,73,18,33,60,27,24,82,30,18,83,10,42
0206806-012,179,64,102,171,57,101,138,61,71,154,51,81,146,10,63
0209006-170,910,325,545,889,303,550,733,278,424,794,240,448,772,59,307
0217010-030,946,245,676,931,261,625,697,172,500,743,167,483,721,79,271
0229039-318,73,48,22,70,33,26,71,50,9,67,47,8,66,7,46
0205038-842,88,36,31,96,51,25,94,60,21,126,82,8,126,13,77
0209005-594,194,136,46,196,143,46,150,85,53,233,137,60,229,68,63
0205038-816,17,14,2,18,9,5,30,17,12,30,22,3,29,4,14
0209001-470,918,459,426,901,437,431,743,403,298,858,389,358,838,111,374
0215838-834,136,75,38,138,75,42,111,76,29,112,54,24,113,11,65
0229039-324,67,45,19,67,33,31,67,50,13,70,44,13,68,5,37
0205038-854,102,73,23,102,48,44,128,72,42,108,62,14,106,12,58
0202019-525,1347,928,370,1336,870,398,1154,850,278,1220,755,348,1202,234,439
0202014-945,946,330,560,946,317,590,776,271,475,901,235,529,881,84,395
0212229-180,1545,292,1217,1528,255,1209,1170,198,930,1288,186,997,1257,44,517
0206309-665,165,63,96,161,47,98,103,42,51,144,50,77,141,23,65
0211033-520,784,562,198,778,554,208,674,470,190,714,413,208,698,142,309
0211034-410,1159,666,445,1151,633,464,939,434,469,1022,413,468,1002,186,505
0202023-755,968,479,460,964,433,499,823,356,436,886,362,434,862,90,413
0202016-350,1840,960,804,1829,922,835,1513,774,708,1689,716,783,1646,240,728
0202028-145,1377,666,676,1379,625,739,1164,546,594,1272,551,595,1271,104,580
0202024-705,1174,534,592,1175,495,643,852,387,434,961,362,479,949,117,450
