GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
0202030-860,2540,1607,79,199,189,158,287,21,123,288,355,35,1839,1216,65,124,128,71,220,15,84,176,248,20,2535.4,1180.6,37.7,420.0,168.1,272.6,455.2,1.1,131.1,424.3,559.5,54.2
0202030-865,2941,1655,137,272,257,309,255,56,223,463,354,95,2132,1291,105,168,190,157,189,32,138,302,237,48,3556.4,1983.3,125.3,300.4,364.0,363.2,420.1,0.0,283.7,635.1,469.8,51.2
0202031-900,2221,1485,66,142,185,215,125,3,104,339,203,15,1646,1184,51,89,120,100,99,3,62,202,127,7,2449.8,1553.7,68.9,200.6,365.0,218.5,37.3,5.8,91.9,593.0,68.0,18.8
0202031-905,3287,2541,55,129,131,164,261,6,88,226,318,16,2369,1899,42,78,92,61,194,3,57,126,212,7,4020.6,3021.7,52.7,286.5,92.5,242.8,303.5,20.9,112.4,190.0,408.9,53.7
0202031-910,2492,1722,62,188,186,226,94,14,130,362,163,25,1839,1365,40,111,128,107,80,8,68,213,107,13,2384.7,1697.3,21.2,165.3,30.6,454.1,16.3,0.0,51.8,240.7,319.4,12.3
0202031-915,1542,1244,41,44,38,77,95,3,42,90,126,8,1116,916,32,34,24,41,66,3,32,56,77,4,1647.0,884.0,124.0,96.0,132.0,366.0,45.0,0.0,166.0,334.0,166.0,1.0
0202031-920,2207,1818,37,93,91,101,61,6,57,154,95,17,1606,1373,27,52,59,39,52,4,32,85,67,7,2122.4,1724.9,40.3,224.0,53.5,57.2,22.5,0.0,50.2,71.2,64.8,0.0
0202031-925,1197,982,29,66,27,33,58,2,31,51,69,7,861,724,14,33,20,20,48,2,15,36,54,3,1163.2,904.4,9.0,196.8,9.9,21.8,21.4,0.0,27.3,17.4,35.8,0.0
0202031-930,2723,2380,33,78,90,86,53,3,46,129,88,12,2077,1844,29,49,68,46,39,2,32,88,55,7,2600.5,2117.7,15.5,130.7,168.4,111.4,56.7,0.0,25.8,204.6,91.4,36.0
0202031-935,2075,1845,22,48,71,63,26,0,34,115,42,2,1556,1418,17,21,46,34,20,0,19,72,28,1,2032.5,1615.0,90.6,97.1,89.2,109.9,30.7,0.0,90.6,162.2,61.2,5.0
0202032-940,1310,1149,6,49,24,39,40,3,11,44,61,7,1018,916,5,34,13,22,26,2,7,26,37,3,1195.0,1030.4,9.7,73.5,25.7,29.2,26.6,0.0,30.1,55.8,26.6,8.9
0202032-945,420,168,12,3,177,23,37,0,14,199,38,0,417,168,12,3,174,23,37,0,14,196,38,0,764.8,272.8,44.4,131.8,21.6,95.3,41.6,157.3,56.8,87.1,48.0,226.1
0202032-950,3926,3362,83,160,73,158,88,2,126,147,154,10,2796,2463,53,97,46,69,66,2,66,83,92,7,4007.8,3246.2,48.7,277.7,115.4,236.5,83.4,0.0,123.7,199.2,188.8,20.2
0202032-955,1792,1615,19,30,48,47,32,1,20,82,54,2,1409,1289,14,23,29,29,24,1,15,52,36,1,1859.4,1545.6,0.0,190.2,12.2,29.3,82.1,0.0,8.1,125.2,121.1,0.0
0202032-960,2253,1998,3,88,39,60,64,1,14,77,87,7,1836,1646,2,58,31,44,54,1,9,64,65,6,2076.9,1728.7,10.2,71.3,12.2,232.3,22.2,0.0,28.2,214.5,61.5,0.0
0202032-965,3190,2612,66,124,86,158,141,3,91,163,207,5,2214,1872,42,65,52,74,107,2,49,98,132,2,3349.6,2764.4,42.4,140.2,61.1,179.6,161.8,0.0,45.1,119.7,334.5,1.1
0202032-970,3123,2474,91,147,163,156,81,11,131,258,141,18,2279,1801,66,97,142,100,63,10,86,215,91,13,3543.4,2626.0,111.8,213.4,179.6,349.5,55.2,8.0,176.0,370.5,175.6,28.8
0202032-980,317,293,0,4,13,5,2,0,0,16,3,1,273,254,0,3,11,4,1,0,0,13,2,1,272.1,223.3,1.8,1.7,4.8,38.7,1.8,0.0,16.8,28.5,3.5,0.0
0202032-985,2785,2435,19,84,97,87,62,1,27,150,100,2,2148,1909,19,56,69,45,49,1,22,94,69,2,3086.6,2580.7,12.8,62.5,76.4,240.1,114.0,0.0,19.8,263.7,181.8,0.0
0202032-990,406,379,2,1,9,9,6,0,2,11,14,0,324,306,2,1,6,4,5,0,2,8,8,0,427.6,355.4,0.0,43.7,2.8,6.7,18.9,0.0,1.9,28.8,27.9,0.0
0205006-510,513,107,1,6,349,50,0,0,2,404,0,0,344,88,1,4,222,29,0,0,2,254,0,0,541.5,56.3,0.0,7.3,441.1,36.8,0.0,0.0,1.1,483.1,1.1,0.0
0205006-540,118,4,2,3,103,6,0,0,4,112,0,0,74,4,2,1,61,6,0,0,2,68,0,0,89.4,10.0,0.2,0.5,73.5,5.2,0.0,0.0,0.5,78.3,0.7,0.2
0205006-545,117,11,0,0,97,9,0,0,0,106,1,0,83,11,0,0,68,4,0,0,0,72,0,0,100.3,11.2,0.3,0.5,82.5,5.9,0.0,0.0,0.5,87.8,0.8,0.3
0205006-610,44,6,0,0,37,1,0,0,0,38,0,0,33,6,0,0,26,1,0,0,0,27,0,0,39.9,4.4,0.1,0.2,32.8,2.3,0.0,0.0,0.2,34.9,0.3,0.1
