GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19153153079,0,0,0,1718.0,815.0,763.0,1688.0,602.0,1032.0,1541.0,820.0,706.0,1329.0,1044.0,0
19153153076,0,0,0,1775.0,962.0,678.9,1754.5,771.8,914.4,1620.9,1002.7,586.9,1491.5,1199.1,0
19153153065,0,0,0,1194.6,633.3,492.2,1182.4,518.1,616.4,1108.2,627.1,465.7,996.6,785.7,0
19153153075,0,0,0,1312.0,643.0,560.0,1306.5,512.2,748.6,1186.1,658.3,511.1,1080.5,846.9,0
19153153066,0,0,0,1286.0,744.0,417.0,1253.0,667.0,514.0,1073.0,712.0,333.0,1002.0,792.0,0
19153153064,0,0,0,1243.0,680.0,440.0,1224.0,577.0,569.0,1120.0,712.0,374.0,1041.0,817.0,0
19153153073,0,0,0,1128.0,473.0,573.0,1125.0,365.0,725.0,1068.0,521.0,535.0,930.0,700.0,0
19153153052,0,0,0,3189.0,1817.0,1092.0,3166.0,1562.0,1484.0,2914.0,1894.0,965.0,2693.0,2189.0,0
19153153068,0,0,0,1475.0,750.0,613.0,1455.0,628.0,773.0,1326.0,758.0,551.0,1196.0,950.0,0
19153153067,0,0,0,1535.0,765.0,640.0,1524.0,639.0,833.0,1438.0,824.0,594.0,1285.0,1028.0,0
19153153074,0,0,0,967.8,520.1,365.7,950.8,412.8,502.2,675.3,407.1,254.4,606.2,472.9,0
19153153070,0,0,0,1856.2,1045.9,663.3,1833.2,866.2,874.8,1776.7,1118.9,630.6,1640.8,1302.1,0
19153153071,0,0,0,1549.0,826.0,595.0,1546.0,680.0,806.0,1423.0,834.0,558.0,1297.0,1022.0,0
19153153072,0,0,0,724.0,319.0,338.0,728.0,245.0,449.0,721.0,375.0,337.0,634.0,492.0,0
19153153051,0,0,0,6350.0,3092.0,2831.0,6288.0,2438.0,3675.0,5702.0,2981.0,2663.0,5031.0,3918.0,0
19049049025,0,0,0,908.0,416.0,423.0,904.0,295.0,578.0,1404.0,754.0,628.0,1277.0,1019.0,0
19049049023,0,0,0,2872.6,1345.2,1209.0,2799.9,988.2,1671.5,2704.8,1515.8,1124.5,2450.7,1885.2,0
19049049024,0,0,0,4145.4,1916.8,1907.0,4077.1,1451.8,2491.5,4473.2,2329.2,2096.5,3912.3,3017.8,0
19049049022,0,0,0,8480.6,3570.2,4128.0,8376.2,2671.1,5380.2,9862.3,4873.5,4819.8,8692.0,6592.8,0
19049049020,0,0,0,3175.0,1329.0,1593.0,3156.0,943.0,2126.0,3543.4,1592.9,1910.7,3105.8,2293.5,0
19155155042,0,0,0,1518.1,594.7,820.0,1483.7,483.4,892.9,1190.6,576.6,572.5,1021.0,772.2,0
19155155044,0,0,0,1774.2,732.4,902.5,1721.0,619.4,1004.6,1490.9,685.3,771.0,1276.8,936.0,0
19155155047,0,0,0,1152.4,519.5,525.2,1127.5,451.2,583.9,933.7,492.2,408.5,805.8,568.6,0
19155155045,0,0,0,1374.3,552.4,711.3,1330.7,477.0,760.6,1092.7,515.9,545.0,913.4,674.2,0
19155155048,0,0,0,1404.2,521.9,776.9,1371.9,441.6,836.0,1179.1,504.7,644.3,1023.7,750.0,0
19155155056,0,0,0,1377.7,514.3,781.9,1345.9,424.4,829.2,1103.4,432.0,638.3,917.9,624.7,0
19155155054,0,0,0,1139.0,490.0,580.0,1097.0,410.0,606.0,864.0,428.0,412.0,762.0,564.0,0
19155155049,0,0,0,633.8,323.8,256.6,618.3,271.3,284.2,522.7,290.2,214.4,462.4,349.6,0
19155155050,0,0,0,958.1,444.3,438.5,911.8,367.2,448.9,720.2,389.1,304.3,628.9,466.4,0
19155155055,0,0,0,1227.3,504.7,637.1,1205.1,442.6,656.8,973.5,454.0,499.7,843.1,629.3,0
19185185006,0,0,0,90.9,24.0,61.2,91.3,21.1,67.3,73.4,23.5,48.4,62.4,47.6,0
19185185008,0,0,0,747.8,197.7,503.9,751.0,173.4,554.2,603.6,193.6,398.6,513.6,391.3,0
19185185007,0,0,0,84.4,22.3,56.8,84.7,19.6,62.5,68.1,21.8,45.0,57.9,44.1,0
19185185009,0,0,0,74.1,19.1,50.8,73.5,17.1,54.8,64.5,21.6,41.9,54.4,40.1,0
19185185001,0,0,0,322.1,83.0,220.9,319.5,74.2,238.1,280.6,93.9,182.0,236.5,174.3,0
19185185002,0,0,0,114.4,29.5,78.5,113.5,26.3,84.6,99.7,33.4,64.7,84.0,61.9,0
19185185003,0,0,0,110.4,28.5,75.8,109.6,25.4,81.6,96.2,32.2,62.4,81.1,59.8,0
19185185013,0,0,0,381.1,97.7,272.9,376.0,83.2,280.1,315.3,87.6,222.1,253.3,186.4,0
19185185004,0,0,0,95.8,24.6,68.6,94.6,20.9,70.4,79.3,22.0,55.8,63.7,46.9,0
19185185005,0,0,0,140.1,35.9,100.3,138.3,30.6,103.0,115.9,32.2,81.7,93.2,68.5,0
19185185014,0,0,0,65.9,16.9,47.2,65.0,14.4,48.4,54.5,15.2,38.4,43.8,32.2,0
19039039012,0,0,0,152.0,39.1,103.8,151.5,35.3,109.8,139.4,39.4,97.5,118.7,79.8,0
19039039008,0,0,0,152.0,39.1,103.8,151.5,35.3,109.8,139.4,39.4,97.5,118.7,79.8,0
19039039007,0,0,0,2086.5,799.7,1148.9,2034.9,662.5,1262.6,1634.7,661.9,928.1,1468.2,1104.9,0
19039039002,0,0,0,163.2,42.0,111.4,162.7,38.0,117.9,149.7,42.3,104.7,127.4,85.7,0
19039039011,0,0,0,131.8,33.9,90.0,131.3,30.6,95.2,120.8,34.1,84.5,102.9,69.2,0
19039039009,0,0,0,489.4,136.9,315.3,487.9,116.5,348.1,412.9,122.3,278.9,361.9,262.9,0
19039039010,0,0,0,103.5,29.0,66.7,103.2,24.6,73.6,87.4,25.9,59.0,76.6,55.6,0
19039039001,0,0,0,79.1,22.1,51.0,78.9,18.8,56.3,66.8,19.8,45.1,58.5,42.5,0
19039039003,0,0,0,291.4,84.2,189.3,287.1,78.6,198.9,265.9,81.9,179.7,234.2,158.9,0
19039039006,0,0,0,234.5,67.8,152.4,231.1,63.3,160.1,214.0,65.9,144.6,188.5,127.9,0
19039039004,0,0,0,245.6,71.0,159.5,241.9,66.3,167.6,224.1,69.0,151.5,197.4,133.9,0
