GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
46093VTD-16,373,91,281,379,103,250,318,113,204,322,125,193
46093VTD-19,502,110,393,498,107,344,433,139,300,454,156,284
46093VTD-27,139,21,121,139,11,115,111,23,86,122,34,85
46093VTD-35,50,1,47,49,0,47,40,1,38,43,7,34
46093VTD-24,185,34,151,187,28,146,168,38,130,175,46,129
46093VTD-NE,127,44,86,127,32,79,109,59,51,114,52,52
46093VTD-25,38,4,34,38,4,34,30,9,21,35,7,26
46093VTD-NW,461,103,362,474,113,316,383,136,250,407,141,249
46093VTD-SW,297,72,225,307,84,199,235,84,152,245,104,134
46093VTD-WS,151,38,112,151,43,93,121,46,72,124,53,66
46093VTD-SS,366,86,283,366,92,244,293,117,177,304,135,165
460970VTD-1,137,45,92,137,51,74,131,69,61,138,71,63
460970VTD-2,124,38,90,122,39,74,122,64,53,127,80,48
460970VTD-3,100,21,77,100,21,62,99,47,53,116,62,50
460970VTD-6,190,38,133,179,37,131,176,60,104,190,89,101
460970VTD-8,130,13,113,129,13,87,118,31,81,118,32,70
460970VTD-4,145,23,106,145,36,91,143,42,86,147,91,42
460970VTD-5,79,10,69,79,10,68,76,37,38,77,38,41
460970VTD-7,168,42,118,166,24,118,168,90,112,220,115,99
460990000N3,2300,563,1736,2341,672,1504,1894,742,1146,1985,772,1185
460990000N5,1430,323,1096,1423,424,899,1201,469,733,1268,554,697
46099000N15,1530,406,1118,1534,487,954,1317,568,750,1395,651,725
4609900N1-9,1186,384,804,1178,479,611,1051,541,506,1096,592,487
4609900N5-7,604,236,371,604,306,260,566,359,208,588,373,208
460990N3-10,1602,382,1222,1602,596,917,1350,633,719,1432,694,721
46099000N11,873,217,659,873,239,587,751,291,457,815,339,448
4609900N1-3,1090,394,697,1115,476,574,872,468,406,908,501,399
46099000N13,889,196,694,890,235,598,761,280,472,791,353,439
4609900N5-9,522,204,319,522,241,222,402,244,158,432,290,134
46099000N21,1156,264,889,1153,310,770,1003,406,595,1063,472,578
460990N1-10,1386,466,922,1397,549,741,1079,555,520,1148,625,496
4609900N2-8,1270,339,930,1249,462,720,1179,562,616,1245,617,625
4609900N2-9,1100,369,730,1095,478,560,1014,551,462,1052,601,446
4609900NVP9,1232,309,933,1238,349,800,1054,428,599,1103,505,597
4609900N1-6,1328,500,830,1324,562,661,1078,567,509,1122,599,502
4609900N2-1,1239,410,831,1254,532,632,1122,602,521,1159,621,532
4609900N2-2,1538,437,1106,1536,621,816,1403,766,633,1464,772,685
4609900N2-3,1222,392,823,1232,537,619,1088,600,487,1135,639,484
4609900N4-9,904,372,525,921,437,411,686,410,279,728,470,246
