GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
23023190671,1671,796,839,1718.0,594.0,1009.0,1494.0,533.0,860.0,1504.0,83.0,727.0
23023190672,3691,2087,1505,3716.0,1622.0,1768.0,3255.0,1574.0,1477.0,3299.0,239.0,1228.0
23023ZZZZZZ,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23025180842,579,326,237,608.0,246.0,320.0,515.0,240.0,257.0,511.0,32.0,214.0
23025180872,372,200,163,409.0,159.0,225.0,366.0,156.0,192.0,367.0,23.0,162.0
23025250293,2353,1182,1129,2341.0,824.0,1302.0,1879.0,775.0,985.0,1893.0,145.0,928.0
23025260241,449,236,204,482.0,161.0,276.0,377.0,155.0,205.0,376.0,24.0,179.0
23025260283,1739,893,813,1838.0,618.0,1059.0,1411.0,549.0,789.0,1419.0,115.0,701.0
23025260842,3387,1907,1394,3285.0,1261.0,1748.0,2575.0,1185.0,1239.0,2590.0,215.0,1127.0
23025260853,4117,2480,1572,4022.0,1688.0,2050.0,3190.0,1558.0,1485.0,3238.0,246.0,1261.0
23025260862,4382,2328,1950,4618.0,1696.0,2605.0,3737.0,1604.0,1910.0,3778.0,269.0,1694.0
23025260871,319,174,135,342.0,123.0,182.0,285.0,131.0,132.0,289.0,19.0,125.0
23025260881,3020,1198,1733,4143.0,1278.0,2586.0,3315.0,1235.0,1874.0,3343.0,234.0,1655.0
23025270241,701,357,332,735.0,228.0,449.0,598.0,212.0,347.0,595.0,34.0,298.0
23025270271,267,95,166,262.0,66.0,173.0,188.0,54.0,125.0,185.0,8.0,113.0
23025270281,4073,1959,2039,3090.0,820.0,2053.0,2414.0,725.0,1519.0,2444.0,144.0,1385.0
23027230412,3430,1835,1533,3577.0,1524.0,1789.0,2974.0,1406.0,1394.0,3013.0,250.0,1194.0
23027230421,445,231,204,478.0,194.0,245.0,404.0,195.0,183.0,409.0,29.0,158.0
23027230422,3759,1921,1770,3801.0,1515.0,1952.0,3307.0,1518.0,1616.0,3314.0,280.0,1443.0
23027230423,540,270,257,568.0,209.0,299.0,492.0,205.0,272.0,495.0,51.0,228.0
23027230431,5174,3112,1952,5470.0,3131.0,1935.0,4913.0,3089.0,1581.0,4950.0,566.0,1363.0
23027230441,1922,1220,662,1949.0,1173.0,627.0,1761.0,1125.0,554.0,1772.0,197.0,458.0
23027230443,1764,888,832,1915.0,802.0,956.0,1694.0,788.0,784.0,1700.0,168.0,684.0
23027230453,4816,2490,2213,5070.0,1982.0,2599.0,4116.0,1844.0,2019.0,4169.0,458.0,1742.0
23029290111,1313,505,787,1265.4,320.1,844.9,960.3,285.9,604.2,958.4,48.2,516.0
23029290301,981,429,526,989.2,294.5,634.4,806.0,286.4,474.8,809.2,53.2,403.7
23029290302,1346,629,692,1407.4,502.4,815.7,1100.7,496.7,540.0,1118.5,85.5,498.3
23029290303,695,292,388,758.0,267.0,431.0,597.0,269.0,306.0,599.0,48.0,282.0
23029290311,3181,1708,1403,3022.0,1244.0,1559.0,2307.0,1004.0,1134.0,2341.0,192.0,923.0
23029290312,738,451,274,705.0,335.0,314.0,541.0,260.0,222.0,550.0,78.0,175.0
23029290322,3367,1820,1491,3110.0,1389.0,1495.0,2644.0,1454.0,1041.0,2683.0,296.0,990.0
23029290323,689,362,320,656.0,277.0,322.0,555.0,301.0,230.0,562.0,33.0,207.0
23029290333,4344,2050,2196,4516.0,1495.0,2691.0,3569.0,1416.0,1982.0,3577.0,267.0,1766.0
23031011464,2596,1535,1022,2564.9,1380.8,995.3,2037.4,1158.9,761.1,2033.1,378.7,630.2
23031011484,1489,881,586,1607.1,865.2,623.7,1276.6,726.1,476.9,1273.9,237.3,394.8
