GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov
56011001801,189,14,170,195,15,178,192,18,174,143,16,123,142,18,120
56033004-04,200,52,122,224,60,151,217,58,158,144,52,82,143,49,85
56033002-04,686,148,451,739,212,491,720,195,524,481,148,322,478,131,333
56033012-01,1385,283,1020,1622,388,1194,1607,362,1236,1229,299,901,1234,218,973
56033004-02,726,157,471,823,240,547,790,209,579,527,174,337,527,152,354
56033001-01,512,84,370,608,122,457,596,116,476,376,100,264,375,80,269
5603301-01s,6,1,5,8,2,6,7,1,6,5,1,4,5,1,4
56033003-04,716,169,464,742,193,518,729,189,536,592,199,372,591,168,408
56025000304,1168,252,786,1199,298,848,1179,336,841,825,272,520,822,249,524
56033003-05,793,176,557,937,255,647,918,234,683,685,191,479,686,150,522
56033013-01,450,78,342,522,113,401,511,108,398,362,93,266,360,77,274
560190003-2,264,52,191,288,70,204,281,70,210,235,52,174,235,40,177
560390004-2,1063,627,339,1194,797,360,1184,725,457,995,638,345,979,523,428
560390001-3,536,287,195,625,391,214,614,323,289,503,278,216,500,232,259
560390001-2,996,646,220,1153,899,214,1122,850,266,964,740,202,964,647,282
56029002402,475,96,326,485,132,337,480,116,360,353,89,254,347,70,253
56037001003,692,139,475,629,143,467,618,154,462,508,134,352,509,132,345
56015001701,106,7,97,120,4,113,120,4,116,84,10,72,82,12,61
56015001502,79,10,67,85,10,74,83,11,72,70,11,56,70,11,55
56015001004,547,125,379,592,155,422,577,138,436,489,126,356,487,112,359
56023000204,467,42,366,559,58,486,549,57,492,364,34,322,361,38,294
56023000208,530,50,426,686,66,599,677,62,615,448,48,388,448,43,364
560090002-2,409,43,346,436,46,380,429,51,373,316,49,256,312,40,258
560090023-2,528,44,442,553,56,487,542,65,471,365,60,287,362,53,284
56029000801,138,12,118,146,17,127,146,14,131,117,18,97,114,16,91
560070002-2,659,135,436,691,175,500,678,171,505,531,165,350,529,157,342
560190004-8,780,104,622,864,160,679,855,154,700,690,126,550,691,87,579
56037001004,1928,370,1339,2108,455,1575,2080,476,1598,1481,474,967,1481,446,976
560070002-1,608,129,411,621,142,465,610,144,465,450,132,307,448,119,297
560210003-7,625,183,383,682,263,393,678,251,424,495,195,283,500,187,293
560210002-6,1738,517,1041,2026,720,1235,2019,622,1388,1555,567,957,1565,470,1052
