GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag
490352706,380,254,112,362.7,238.0,107.8,358.9,214.7,112.5,366.8,227.6,61.9,347.5,194.9,99.0
490352708,336,211,113,333.7,209.6,109.3,332.3,193.0,112.7,341.5,202.7,71.3,324.3,167.2,107.0
490352720,279,189,75,317.2,214.9,90.7,312.8,192.3,92.9,317.5,196.9,54.3,302.9,179.8,83.1
490352722,327,225,91,388.6,244.9,128.9,385.5,229.1,127.5,393.7,229.7,89.0,379.4,199.9,127.7
490352738,489,281,180,535.0,338.8,171.0,519.4,316.7,171.0,533.7,327.1,101.8,516.5,282.4,160.7
490352746,299,178,113,406.7,240.9,144.9,400.7,231.4,138.2,412.2,226.5,106.5,393.5,210.6,129.9
490352747,108,73,30,125.7,85.9,34.5,126.0,81.9,37.3,126.6,80.7,27.2,124.4,70.0,34.9
490352748,354,235,106,355.1,229.4,107.5,349.6,219.4,105.1,353.5,218.5,68.2,345.8,193.7,99.8
490352750,283,194,80,290.0,190.0,87.0,290.0,184.0,85.0,296.0,175.0,64.0,282.0,159.0,79.0
490352752,349,232,108,582.2,346.6,201.9,579.7,340.1,197.9,584.1,333.3,133.6,572.8,297.2,185.2
490352754,462,251,195,414.3,257.4,136.0,411.0,247.4,135.7,414.9,248.7,91.0,408.2,214.2,133.6
490352756,245,166,70,286.5,170.4,100.6,282.9,164.4,97.6,286.2,166.8,63.3,281.7,143.2,97.9
490352758,323,188,117,842.0,497.2,281.2,832.9,471.1,303.1,855.0,481.7,185.3,814.9,421.4,267.4
490352760,299,161,127,135.6,88.0,39.3,132.5,84.5,42.4,136.3,85.9,27.6,130.8,82.8,34.2
490352814,291,187,93,288.5,183.5,96.9,285.0,163.5,100.0,289.2,177.7,50.8,282.3,153.1,93.5
490352816,413,263,141,461.5,293.5,155.1,456.0,261.5,160.0,462.8,284.3,81.2,451.7,244.9,149.5
490352818,80,55,25,87.6,57.7,27.6,87.3,52.5,29.1,89.3,58.5,15.5,87.1,48.6,29.6
490352820,46,27,17,44.2,26.1,16.4,43.8,24.0,17.2,44.6,25.2,8.6,42.9,20.7,16.2
490352822,317,221,89,347.6,224.2,113.9,342.8,202.7,121.0,352.4,215.2,68.0,340.4,184.8,115.7
490352828,496,291,193,542.3,296.1,234.3,539.6,274.6,239.7,549.3,296.5,126.8,527.2,253.8,223.2
490352829,380,191,182,357.1,170.1,175.7,349.2,158.8,168.4,348.6,168.4,86.7,344.1,149.8,166.1
490352832,206,129,65,297.0,175.0,105.0,289.0,177.0,97.0,307.0,178.0,73.0,286.0,149.0,100.0
490352854,533,206,310,593.1,247.5,323.9,584.3,221.8,342.9,585.6,237.4,181.9,576.2,189.4,340.8
490352867,271,168,97,373.7,228.0,132.8,363.0,211.2,130.5,375.9,223.5,71.7,361.4,188.8,136.7
490352868,654,371,265,542.9,319.9,201.1,538.1,295.1,211.4,547.0,309.6,105.7,526.5,254.0,198.4
490352869,389,233,136,575.4,318.3,232.2,564.7,297.0,230.0,575.4,304.8,133.9,556.9,254.9,227.2
490352870,545,307,214,520.6,315.1,187.4,515.2,290.1,191.5,525.7,310.7,106.1,510.3,258.6,190.5
490352874,541,344,182,591.0,353.0,223.0,576.0,335.0,221.0,592.0,355.0,149.0,570.0,301.0,217.0
490352876,479,266,204,538.4,261.1,267.0,523.7,249.4,248.0,540.6,285.3,136.1,525.9,223.8,261.9
490352878,434,223,203,481.6,214.3,253.1,472.0,197.8,255.2,478.8,218.4,137.0,468.9,172.8,259.3
490352886,297,172,113,293.3,179.0,104.2,285.0,165.8,102.5,295.1,175.5,56.3,283.6,148.2,107.3
