GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
05091016,517,471,39,459.2,397.7,42.6,409.6,342.2,53.6
05091017,438,296,138,490.1,237.7,230.4,475.5,227.7,236.8
05091018,393,229,144,376.6,204.9,149.2,358.6,181.5,157.3
05091019,510,208,295,518.5,189.2,306.4,502.0,182.8,300.0
05091020,475,155,311,493.6,167.8,309.8,474.9,160.7,299.5
05091021,594,208,373,615.4,209.2,386.2,592.1,200.3,373.5
05091022,1328,517,795,1291.8,460.6,780.8,1259.7,454.2,767.0
05091023,501,205,290,454.1,172.3,261.6,439.7,165.5,257.7
05091024,296,44,239,336.0,29.0,299.0,324.0,37.0,279.0
05091025,267,105,149,239.7,51.1,181.0,227.4,44.7,176.8
05091026,157,25,130,158.0,32.6,120.4,150.2,28.7,117.7
05093001,420,318,95,519.1,314.2,187.2,480.3,277.2,186.1
05093002,225,170,51,262.4,190.6,62.0,236.8,163.4,64.4
05093003,236,179,53,281.5,188.8,82.9,258.9,166.8,82.7
05093004,241,183,54,280.0,212.3,56.9,250.0,179.2,61.0
05093005,256,193,58,309.4,198.2,100.5,285.3,175.0,100.1
05093007,320,124,189,538.9,218.1,303.5,506.4,188.1,301.6
05093009,310,120,184,536.3,194.7,324.9,507.7,170.0,321.3
05093010,142,55,84,245.0,88.9,148.4,232.0,77.7,146.8
05093011,275,106,163,473.9,172.0,287.1,448.6,150.3,283.9
05093012,571,113,452,528.2,87.2,425.8,504.4,84.9,406.3
05093013,269,236,30,322.9,217.4,92.9,288.8,179.2,98.5
05093015,203,178,22,224.6,190.7,24.2,194.3,154.9,31.2
05093016,134,117,15,147.5,125.3,15.9,127.6,101.7,20.5
05093017,281,247,31,311.4,264.4,33.6,269.3,214.7,43.2
05093019,94,83,10,104.8,89.0,11.3,90.7,72.3,14.6
05093020,203,84,113,156.8,52.2,99.6,147.7,48.7,94.0
05093027,77,30,45,131.5,47.7,79.7,124.5,41.7,78.8
