GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
23031022955,4248,2276,1707,3707,635,1169,3653,2057,1400,4753,2421,2087,4764,2869,1792
23031081475,6558,3303,2812,5880,729,2071,5871,2987,2549,8024,3606,4084,8033,4513,3341
23031056870,1004,370,553,777,82,330,800,328,424,1067,347,624,1072,474,565
2301756310,2169,700,1272,1681,110,836,1734,536,992,2349,631,1563,2338,816,1459
23031000275,1463,547,822,1214,97,526,1212,448,686,1643,522,1039,1645,658,932
2301741365,704,316,336,600,72,233,624,300,281,768,321,409,771,403,354
2301733315,827,315,443,661,61,275,653,274,347,930,291,560,933,377,529
2301764185,241,77,143,204,10,96,202,79,105,245,67,158,247,90,147
2301775035,533,189,300,440,38,220,448,135,203,558,168,351,556,208,325
2301756625,2668,1043,1375,2087,147,851,2045,766,949,2866,995,1672,2875,1294,1498
23031036745,2418,1368,912,2258,220,694,2239,1269,872,2787,1488,1203,2767,1796,928
23031036535,7386,4260,2653,6591,735,1926,6551,3816,2426,8318,4390,3502,8301,5425,2688
23031001605,2464,1073,1200,2046,236,800,2033,900,1008,2845,1128,1536,2845,1420,1350
23031646753,1389,731,577,1185,145,375,1184,631,488,1823,916,794,1820,1124,645
2301783890,989,343,545,725,46,309,733,276,379,957,290,596,962,376,553
2301717250,732,287,383,639,34,266,636,283,318,828,315,468,832,408,393
2301764290,2808,1147,1403,2206,191,833,2209,997,996,2871,1009,1632,2883,1289,1506
23031038425,3180,947,1949,2340,233,1154,2305,787,1370,3534,1007,2310,3549,1245,2183
23023027295,748,405,282,696,34,208,694,410,260,843,439,353,846,531,295
23023006260,1718,594,1009,1504,83,727,1494,533,860,1872,557,1219,1888,763,1082
23023076960,5923,3135,2333,5158,385,1539,5127,2878,1883,6602,3132,3037,6603,3986,2396
23023062645,1872,739,963,1632,118,660,1605,699,797,2102,752,1208,2091,944,1059
2302974125,621,201,369,483,38,226,480,192,274,654,190,419,662,244,404
2302981685,67,23,39,55,6,23,55,21,30,68,21,47,67,23,40
2302913750,210,43,151,171,14,100,169,49,106,229,56,162,229,68,156
23023033554,529,312,178,473,55,105,470,301,139,588,323,211,586,391,176
23023033552,646,376,217,573,64,132,565,363,163,705,387,254,706,474,212
23023033551,597,348,200,531,57,124,532,339,155,660,362,236,661,441,198
23023033557,688,402,231,613,67,142,610,391,179,757,417,270,763,508,226
23023033556,702,411,236,630,71,146,614,396,181,781,426,280,784,520,232
23023033553,759,443,256,675,75,156,670,428,198,839,459,302,838,560,249
23023033555,767,448,256,682,78,156,675,431,199,848,464,303,847,564,251
23023087460,1979,834,1003,1761,107,718,1736,763,857,2167,808,1206,2164,1046,1065
2302936010,664,242,378,533,29,267,525,217,286,714,203,488,716,246,448
2302985185,200,87,104,199,24,85,195,101,83,226,78,136,223,91,127
23001077800,3315,1092,2014,2645,139,1317,2637,897,1528,3443,1015,2255,3449,1302,2057
23001387405,1487,816,547,1109,298,255,1146,757,298,2321,1193,990,2331,1388,868
23001020604,1831,805,891,1619,131,686,1605,730,745,2119,837,1140,2119,1063,994
23001020605,2543,1126,1208,2007,179,855,1984,915,912,2691,1073,1391,2673,1354,1219
23001020602,2632,1348,1062,2170,218,753,2164,1206,811,2615,1216,1240,2623,1482,1059
23001064570,2780,872,1704,2118,147,1051,2079,733,1199,2903,844,1889,2895,1045,1769
2302917355,170,51,103,133,12,53,127,55,60,192,53,124,187,71,112
23001387404,2322,1014,1132,1961,162,740,1924,872,882,2612,1105,1347,2620,1384,1148
23001046160,1654,543,981,1375,58,705,1364,447,831,1786,521,1178,1779,683,1042
23001020601,2393,1111,1047,1925,204,741,1898,912,826,2711,1265,1290,2730,1540,1104
23001387403,2198,1490,555,1604,454,266,1603,1193,295,2231,1306,791,2260,1492,687
23001387407,2449,1047,1218,1866,194,735,1852,849,868,2154,1110,924,2139,1289,803
2301726910,1763,817,770,1500,218,468,1512,792,606,1952,890,959,1951,1071,815
2301787355,762,276,405,635,52,296,636,249,318,855,277,537,856,335,482
23005026525,5482,3471,1647,5162,551,1181,5070,3309,1527,6245,3762,2147,6236,4373,1679
23005605431,4073,3167,683,3673,761,440,3613,2865,587,4242,2787,904,4281,3461,645
23005605412,3016,2275,466,2709,898,257,2717,2222,352,3334,2329,555,3288,2714,428
23005012300,328,234,66,278,31,44,277,202,66,333,219,102,333,258,66
23005605422,3348,2702,371,3059,1067,210,3060,2647,282,4104,2910,465,4053,3531,361
23005048085,2271,833,1280,1901,177,889,1963,738,1110,2511,854,1520,2510,1050,1392
23005024495,7994,4919,2638,7464,700,2036,7542,4440,2794,9128,5100,3667,9103,6213,2678
2301749275,271,137,109,249,17,92,250,119,112,290,139,136,291,165,119
2301775595,249,116,116,216,17,83,214,101,94,283,124,141,285,167,108
2301732370,737,251,398,623,39,289,613,208,318,782,226,499,782,326,428
2301739422,27,7,16,26,2,13,27,10,15,30,7,23,30,11,19
2301771755,348,129,170,287,30,106,283,123,127,374,138,208,384,181,179
2301742835,17,2,15,15,1,8,15,6,8,15,5,7,16,6,10
2301380215,2116,772,1183,1692,129,743,1689,678,915,2252,693,1383,2258,929,1262
2301335135,63,38,15,63,14,7,60,48,8,68,49,16,67,55,9
2301351620,287,191,67,270,35,49,266,193,63,326,190,117,323,223,85
23031657252,3339,1525,1519,2371,307,835,2351,1116,1059,4229,1814,2060,4207,2193,1868
23031657253,3402,1497,1665,2635,300,1005,2605,1143,1304,3361,1130,2021,3418,1571,1734
2302151105,195,59,120,180,14,84,177,66,102,205,57,143,214,73,139
2302100100,399,102,256,308,12,152,307,107,179,417,94,305,419,122,289
2302144830,148,44,96,108,6,63,105,35,60,160,31,115,165,47,112
2302105560,53,20,32,44,2,23,45,18,25,54,16,36,55,21,34
2302146580,390,140,224,322,22,169,322,116,183,409,114,264,409,149,247
2301755960,1070,427,561,887,62,382,905,373,459,1178,436,688,1178,541,606
23031000730,1823,819,887,1552,139,580,1539,723,708,2005,772,1119,2009,994,950
23031037270,5623,3504,1749,4961,973,1202,4838,3183,1383,6445,3826,2270,6465,4465,1813
23031087985,8742,4971,3266,7740,1069,2254,7654,4484,2732,9753,5253,4115,9733,6182,3360
23031646752,1580,773,677,1314,119,456,1313,645,600,1836,926,800,1835,1137,650
2300374405,153,68,53,131,8,46,128,48,67,162,27,119,161,71,86
2300360825,4290,1794,2106,3278,228,1195,3214,1258,1658,4249,1335,2689,4266,1879,2271
2300319210,147,38,96,108,5,54,108,40,60,150,31,112,150,40,106
2300332685,34,4,23,29,1,17,30,4,22,39,8,30,42,8,33
2300367790,488,110,358,365,12,226,370,92,246,503,75,405,513,122,380
2300369930,309,76,220,243,9,128,239,68,151,324,57,251,317,78,238
2301929185,688,187,441,524,32,306,519,152,347,713,148,517,720,195,500
2301949065,1737,581,1028,1332,72,677,1306,483,767,1750,435,1224,1750,590,1121
2300310565,3787,1524,1998,2916,172,1075,2867,1087,1512,3810,938,2681,3839,1629,2150
2300313900,210,85,112,160,7,61,159,61,84,210,52,150,208,91,117
2300333980,2704,948,1576,2044,122,864,2019,734,1100,2738,741,1848,2755,1057,1643
2300373472,389,178,187,318,18,101,316,148,146,385,137,228,385,192,191
2300321380,672,219,409,576,28,243,572,185,337,716,165,513,719,244,468
2300326735,611,266,313,472,30,155,460,222,216,608,204,379,607,238,362
2300365025,238,128,96,209,29,47,206,128,63,246,100,136,246,122,121
2301930795,4425,1945,2107,3627,264,1490,3522,1665,1689,4911,1834,2827,4910,2477,2270
2301910810,94,17,72,69,2,52,69,9,55,88,7,75,87,14,73
23031041750,2553,1047,1303,2139,213,841,2136,881,1118,2963,1019,1765,2964,1329,1541
23031070030,4172,2246,1619,3307,616,1025,3314,1885,1238,4663,2358,2041,4669,2777,1738
