GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
271350160,203.0,37.0,157.0,183.0,55.0,124.0,183.0,68.0,113.0,183.0,54.0,127.0,194,72,118
271350165,113.0,13.0,93.0,91.0,22.0,69.0,94.0,31.0,60.0,92.0,22.0,67.0,108,28,78
271350170,66.0,14.0,49.0,64.0,20.0,43.0,65.0,28.0,36.0,65.0,23.0,42.0,62,16,43
271350180,149.0,43.0,97.0,135.0,37.0,90.0,136.0,57.0,74.0,138.0,44.0,91.0,148,65,80
271350185,116.0,27.0,87.0,91.0,24.0,62.0,95.0,36.0,55.0,92.0,26.0,62.0,114,57,55
271350190,19.0,0.0,19.0,21.0,4.0,15.0,21.0,8.0,11.0,21.0,4.0,14.0,17,3,13
271370005,131.0,56.0,65.0,117.0,65.0,42.0,119.0,75.0,40.0,119.0,68.0,46.0,136,93,39
271370010,286.0,131.0,127.0,236.0,142.0,86.0,239.0,165.0,69.0,237.0,148.0,84.0,260,174,79
271370015,130.0,79.0,33.0,111.0,75.0,31.0,114.0,82.0,28.0,114.0,80.0,31.0,135,97,33
271370852,145.0,74.0,63.0,141.0,71.0,62.0,141.0,91.0,46.0,144.0,79.0,62.0,142,90,50
271370020,140.0,57.0,68.0,128.0,60.0,58.0,130.0,76.0,52.0,130.0,67.0,59.0,154,91,60
271370025,110.0,49.0,49.0,89.0,48.0,32.0,90.0,57.0,31.0,90.0,51.0,35.0,120,86,33
271370030,76.0,43.0,29.0,65.0,42.0,18.0,66.0,50.0,13.0,67.0,42.0,20.0,71,47,23
271370031,43.0,27.0,16.0,47.0,26.0,17.0,47.0,31.0,16.0,47.0,29.0,18.0,48,39,9
271370120,207.0,72.0,120.0,179.0,73.0,99.0,181.0,86.0,89.0,181.0,80.0,95.0,214,114,89
271370035,869.0,319.0,479.0,731.0,327.0,362.0,739.0,388.0,324.0,740.0,341.0,362.0,941,553,349
271370975,261.0,130.0,106.0,253.0,125.0,115.0,254.0,145.0,100.0,252.0,133.0,109.0,310,184,117
271370040,524.0,216.0,276.0,439.0,209.0,208.0,443.0,257.0,175.0,442.0,226.0,202.0,510,333,157
271370973,27.0,9.0,17.0,28.0,9.0,19.0,28.0,9.0,19.0,28.0,9.0,16.0,18,12,5
271370965,153.0,66.0,72.0,138.0,65.0,62.0,142.0,87.0,48.0,138.0,70.0,59.0,143,82,54
271370045,26.0,10.0,11.0,23.0,12.0,9.0,25.0,17.0,8.0,25.0,13.0,11.0,31,21,8
271370050,322.0,141.0,166.0,285.0,111.0,162.0,288.0,148.0,136.0,288.0,130.0,154.0,334,168,161
271370055,529.8,257.0,212.7,490.0,274.0,182.0,493.0,324.0,146.0,490.0,292.0,170.0,577,416,148
271371136,424.2,181.0,219.3,370.0,182.0,173.0,377.0,218.0,144.0,375.0,194.0,167.0,461,278,170
271370060,556.0,234.0,289.0,495.0,234.0,233.0,501.0,294.0,192.0,501.0,255.0,227.0,544,337,193
271370550,972.1,422.0,458.0,841.0,448.0,344.0,850.0,536.0,287.0,848.0,491.0,329.0,1154,780,334
271371000,131.0,37.0,85.0,104.0,36.0,66.0,110.0,48.0,61.0,109.0,40.0,66.0,125,47,77
271370065,393.0,162.0,210.0,319.0,160.0,148.0,328.0,185.0,131.0,328.0,167.0,151.0,437,250,176
271370940,254.0,112.0,126.0,243.0,121.0,102.0,246.0,138.0,87.0,246.0,124.0,107.0,300,182,110
271370066,5.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,8,4,4
271370070,625.0,298.0,281.0,551.0,290.0,226.0,560.0,359.0,181.0,557.0,321.0,212.0,626,417,197
271370075,36.0,21.0,11.0,29.0,18.0,7.0,30.0,24.0,4.0,28.0,20.0,5.0,57,47,10
271370080,529.0,214.0,265.0,423.0,209.0,178.0,431.0,254.0,160.0,427.0,223.0,175.0,539,362,159
271370085,1360.0,528.0,711.0,1144.0,522.0,572.0,1168.0,665.0,479.0,1164.0,559.0,568.0,1316,741,557
271370090,107.0,42.0,60.0,106.0,44.0,59.0,107.0,53.0,50.0,108.0,47.0,56.0,119,68,49
271370095,523.0,230.0,245.0,430.0,228.0,179.0,431.0,274.0,148.0,430.0,252.0,168.0,516,351,151
271370100,2321.0,1161.0,963.0,1971.0,1110.0,710.0,2000.0,1311.0,613.0,1993.0,1218.0,681.0,2588,1796,731
271370115,534.0,223.0,276.0,446.0,206.0,219.0,452.0,254.0,187.0,451.0,236.0,202.0,574,381,173
271370125,277.0,128.4,122.0,231.4,123.5,95.0,240.3,143.5,88.8,240.3,128.5,95.9,316,191,116
271370515,221.4,79.5,128.4,186.5,89.4,84.8,186.7,103.8,77.7,188.7,100.5,82.9,239,153,82
271370130,310.0,137.0,148.0,290.0,141.0,133.0,294.0,174.0,112.0,292.0,160.0,125.0,311,194,109
271370133,73.0,19.0,53.0,68.0,19.0,47.0,71.0,27.0,43.0,70.0,19.0,49.0,89,34,53
271370885,112.0,28.0,76.0,93.0,30.0,58.0,93.0,46.0,45.0,93.0,34.0,55.0,103,50,45
271371002,93.0,27.0,56.0,78.0,30.0,44.0,81.0,45.0,33.0,80.0,30.0,46.0,123,50,66
271370135,130.0,65.0,43.0,116.0,63.0,38.0,116.0,78.0,31.0,115.0,68.0,40.0,144,105,37
271370140,1374.0,850.0,403.0,1271.0,804.0,402.0,1293.0,924.0,344.0,1289.0,864.0,392.0,1395,935,433
271370770,1374.1,645.6,625.6,1244.2,647.6,548.7,1262.2,757.5,486.7,1261.2,678.6,553.6,1428,815,595
271370145,1352.0,862.0,361.0,1272.0,858.0,353.0,1286.0,988.0,276.0,1284.0,915.0,337.0,1342,944,372
271370150,1684.5,1033.0,513.1,1523.9,957.3,510.1,1550.2,1153.0,368.9,1549.1,1047.0,462.0,1608,1023,563
271370155,1499.0,878.0,487.0,1412.0,853.0,483.0,1435.0,1010.0,379.0,1429.0,924.0,465.0,1460,930,511
271370160,1476.2,898.9,465.4,1342.4,872.0,417.5,1360.4,982.8,339.6,1355.4,908.9,423.5,1548,948,579
271370910,2452.7,1168.1,1090.6,2128.6,1121.0,891.5,2166.6,1368.2,745.4,2159.6,1217.1,875.5,2481,1536,892
